DRS;Regiao;Municipio
I;Grande São Paulo;ARUJÁ
I;Grande São Paulo;BARUERI
I;Grande São Paulo;BIRITIBA-MIRIM
I;Grande São Paulo;CAIEIRAS
I;Grande São Paulo;CAJAMAR
I;Grande São Paulo;CARAPICUÍBA
I;Grande São Paulo;COTIA
I;Grande São Paulo;DIADEMA
I;Grande São Paulo;EMBU DAS ARTES
I;Grande São Paulo;EMBU-GUAÇU
I;Grande São Paulo;FERRAZ DE VASCONCELOS
I;Grande São Paulo;FRANCISCO MORATO
I;Grande São Paulo;FRANCO DA ROCHA
I;Grande São Paulo;GUARAREMA
I;Grande São Paulo;GUARULHOS
I;Grande São Paulo;ITAPECERICA DA SERRA
I;Grande São Paulo;ITAPEVI
I;Grande São Paulo;ITAQUAQUECETUBA
I;Grande São Paulo;JANDIRA
I;Grande São Paulo;JUQUITIBA
I;Grande São Paulo;MAIRIPORÃ
I;Grande São Paulo;MAUÁ
I;Grande São Paulo;MOGI DAS CRUZES
I;Grande São Paulo;OSASCO
I;Grande São Paulo;PIRAPORA DO BOM JESUS
I;Grande São Paulo;POÁ
I;Grande São Paulo;RIBEIRÃO PIRES
I;Grande São Paulo;RIO GRANDE DA SERRA
I;Grande São Paulo;SALESÓPOLIS
I;Grande São Paulo;SANTA ISABEL
I;Grande São Paulo;SANTANA DE PARNAÍBA
I;Grande São Paulo;SANTO ANDRÉ
I;Grande São Paulo;SÃO BERNARDO DO CAMPO
I;Grande São Paulo;SÃO CAETANO DO SUL
I;Grande São Paulo;SÃO LOURENÇO DA SERRA
I;Grande São Paulo;SÃO PAULO
I;Grande São Paulo;SUZANO
I;Grande São Paulo;TABOÃO DA SERRA
I;Grande São Paulo;VARGEM GRANDE PAULISTA
II;Araçatuba;ALTO ALEGRE
II;Araçatuba;ANDRADINA
II;Araçatuba;ARAÇATUBA
II;Araçatuba;AURIFLAMA
II;Araçatuba;AVANHANDAVA
II;Araçatuba;BARBOSA
II;Araçatuba;BENTO DE ABREU
II;Araçatuba;BILAC
II;Araçatuba;BIRIGUI
II;Araçatuba;BRAÚNA
II;Araçatuba;BREJO ALEGRE
II;Araçatuba;BURITAMA
II;Araçatuba;CASTILHO
II;Araçatuba;CLEMENTINA
II;Araçatuba;COROADOS
II;Araçatuba;GABRIEL MONTEIRO
II;Araçatuba;GLICÉRIO
II;Araçatuba;GUARAÇAÍ
II;Araçatuba;GUARARAPES
II;Araçatuba;GUZOLÂNDIA
II;Araçatuba;ILHA SOLTEIRA
II;Araçatuba;ITAPURA
II;Araçatuba;LAVÍNIA
II;Araçatuba;LOURDES
II;Araçatuba;LUIZIÂNIA
II;Araçatuba;MIRANDÓPOLIS
II;Araçatuba;MURUTINGA DO SUL
II;Araçatuba;NOVA CASTILHO
II;Araçatuba;NOVA INDEPENDÊNCIA
II;Araçatuba;NOVA LUZITÂNIA
II;Araçatuba;PENÁPOLIS
II;Araçatuba;PEREIRA BARRETO
II;Araçatuba;PIACATU
II;Araçatuba;RUBIÁCEA
II;Araçatuba;SANTO ANTÔNIO DO ARACANGUÁ
II;Araçatuba;SANTÓPOLIS DO AGUAPEÍ
II;Araçatuba;SUD MENNUCCI
II;Araçatuba;SUZANÁPOLIS
II;Araçatuba;TURIÚBA
II;Araçatuba;VALPARAÍSO
III;Araraquara;AMÉRICO BRASILIENSE
III;Araraquara;ARARAQUARA
III;Araraquara;BOA ESPERANÇA DO SUL
III;Araraquara;BORBOREMA
III;Araraquara;CÂNDIDO RODRIGUES
III;Araraquara;DESCALVADO
III;Araraquara;DOBRADA
III;Araraquara;DOURADO
III;Araraquara;GAVIÃO PEIXOTO
III;Araraquara;IBATÉ
III;Araraquara;IBITINGA
III;Araraquara;ITÁPOLIS
III;Araraquara;MATÃO
III;Araraquara;MOTUCA
III;Araraquara;NOVA EUROPA
III;Araraquara;PORTO FERREIRA
III;Araraquara;RIBEIRÃO BONITO
III;Araraquara;RINCÃO
III;Araraquara;SANTA ERNESTINA
III;Araraquara;SANTA LÚCIA
III;Araraquara;SÃO CARLOS
III;Araraquara;TABATINGA
III;Araraquara;TAQUARITINGA
III;Araraquara;TRABIJU
IV;Baixada Santista;BERTIOGA
IV;Baixada Santista;CUBATÃO
IV;Baixada Santista;GUARUJÁ
IV;Baixada Santista;ITANHAÉM
IV;Baixada Santista;MONGAGUÁ
IV;Baixada Santista;PERUÍBE
IV;Baixada Santista;PRAIA GRANDE
IV;Baixada Santista;SANTOS
IV;Baixada Santista;SÃO VICENTE
V;Barretos;ALTAIR
V;Barretos;BARRETOS
V;Barretos;BEBEDOURO
V;Barretos;CAJOBI
V;Barretos;COLINA
V;Barretos;COLÔMBIA
V;Barretos;GUAÍRA
V;Barretos;GUARACI
V;Barretos;JABORANDI
V;Barretos;MONTE AZUL PAULISTA
V;Barretos;OLÍMPIA
V;Barretos;SEVERÍNIA
V;Barretos;TAIAÇU
V;Barretos;TAIÚVA
V;Barretos;TAQUARAL
V;Barretos;TERRA ROXA
V;Barretos;VIRADOURO
V;Barretos;VISTA ALEGRE DO ALTO
VI;Bauru;ÁGUAS DE SANTA BÁRBARA
VI;Bauru;AGUDOS
VI;Bauru;ANHEMBI
VI;Bauru;ARANDU
VI;Bauru;AREALVA
VI;Bauru;AREIÓPOLIS
VI;Bauru;AVAÍ
VI;Bauru;AVARÉ
VI;Bauru;BALBINOS
VI;Bauru;BARÃO DE ANTONINA
VI;Bauru;BARIRI
VI;Bauru;BARRA BONITA
VI;Bauru;BAURU
VI;Bauru;BOCAINA
VI;Bauru;BOFETE
VI;Bauru;BORACÉIA
VI;Bauru;BOREBI
VI;Bauru;BOTUCATU
VI;Bauru;BROTAS
VI;Bauru;CABRÁLIA PAULISTA
VI;Bauru;CAFELÂNDIA
VI;Bauru;CERQUEIRA CÉSAR
VI;Bauru;CONCHAS
VI;Bauru;CORONEL MACEDO
VI;Bauru;DOIS CÓRREGOS
VI;Bauru;DUARTINA
VI;Bauru;FARTURA
VI;Bauru;GETULINA
VI;Bauru;GUAIÇARA
VI;Bauru;IACANGA
VI;Bauru;IARAS
VI;Bauru;IGARAÇU DO TIETÊ
VI;Bauru;ITAÍ
VI;Bauru;ITAJU
VI;Bauru;ITAPORANGA
VI;Bauru;ITAPUÍ
VI;Bauru;ITATINGA
VI;Bauru;JAÚ
VI;Bauru;LARANJAL PAULISTA
VI;Bauru;LENÇÓIS PAULISTA
VI;Bauru;LINS
VI;Bauru;LUCIANÓPOLIS
VI;Bauru;MACATUBA
VI;Bauru;MANDURI
VI;Bauru;MINEIROS DO TIETÊ
VI;Bauru;PARANAPANEMA
VI;Bauru;PARDINHO
VI;Bauru;PAULISTÂNIA
VI;Bauru;PEDERNEIRAS
VI;Bauru;PEREIRAS
VI;Bauru;PIRAJU
VI;Bauru;PIRAJUÍ
VI;Bauru;PIRATININGA
VI;Bauru;PONGAÍ
VI;Bauru;PORANGABA
VI;Bauru;PRATÂNIA
VI;Bauru;PRESIDENTE ALVES
VI;Bauru;PROMISSÃO
VI;Bauru;REGINÓPOLIS
VI;Bauru;SABINO
VI;Bauru;SÃO MANUEL
VI;Bauru;SARUTAIÁ
VI;Bauru;TAGUAÍ
VI;Bauru;TAQUARITUBA
VI;Bauru;TEJUPÁ
VI;Bauru;TORRE DE PEDRA
VI;Bauru;TORRINHA
VI;Bauru;URU
VII;Campinas;ÁGUAS DE LINDÓIA
VII;Campinas;AMERICANA
VII;Campinas;AMPARO
VII;Campinas;ARTUR NOGUEIRA
VII;Campinas;ATIBAIA
VII;Campinas;BOM JESUS DOS PERDÕES
VII;Campinas;BRAGANÇA PAULISTA
VII;Campinas;CABREÚVA
VII;Campinas;CAMPINAS
VII;Campinas;CAMPO LIMPO PAULISTA
VII;Campinas;COSMÓPOLIS
VII;Campinas;HOLAMBRA
VII;Campinas;HORTOLÂNDIA
VII;Campinas;INDAIATUBA
VII;Campinas;ITATIBA
VII;Campinas;ITUPEVA
VII;Campinas;JAGUARIÚNA
VII;Campinas;JARINU
VII;Campinas;JOANÓPOLIS
VII;Campinas;JUNDIAÍ
VII;Campinas;LINDÓIA
VII;Campinas;LOUVEIRA
VII;Campinas;MONTE ALEGRE DO SUL
VII;Campinas;MONTE MOR
VII;Campinas;MORUNGABA
VII;Campinas;NAZARÉ PAULISTA
VII;Campinas;NOVA ODESSA
VII;Campinas;PAULÍNIA
VII;Campinas;PEDRA BELA
VII;Campinas;PEDREIRA
VII;Campinas;PINHALZINHO
VII;Campinas;PIRACAIA
VII;Campinas;SANTA BÁRBARA D'OESTE
VII;Campinas;SANTO ANTÔNIO DE POSSE
VII;Campinas;SERRA NEGRA
VII;Campinas;SOCORRO
VII;Campinas;SUMARÉ
VII;Campinas;TUIUTI
VII;Campinas;VALINHOS
VII;Campinas;VARGEM
VII;Campinas;VÁRZEA PAULISTA
VII;Campinas;VINHEDO
VIII;Franca;ARAMINA
VIII;Franca;BURITIZAL
VIII;Franca;CRISTAIS PAULISTA
VIII;Franca;FRANCA
VIII;Franca;GUARÁ
VIII;Franca;IGARAPAVA
VIII;Franca;IPUÃ
VIII;Franca;ITIRAPUÃ
VIII;Franca;ITUVERAVA
VIII;Franca;JERIQUARA
VIII;Franca;MIGUELÓPOLIS
VIII;Franca;MORRO AGUDO
VIII;Franca;NUPORANGA
VIII;Franca;ORLÂNDIA
VIII;Franca;PATROCÍNIO PAULISTA
VIII;Franca;PEDREGULHO
VIII;Franca;RESTINGA
VIII;Franca;RIBEIRÃO CORRENTE
VIII;Franca;RIFAINA
VIII;Franca;SALES OLIVEIRA
VIII;Franca;SÃO JOAQUIM DA BARRA
VIII;Franca;SÃO JOSÉ DA BELA VISTA
IX;Marília;ADAMANTINA
IX;Marília;ÁLVARO DE CARVALHO
IX;Marília;ALVINLÂNDIA
IX;Marília;ARCO-ÍRIS
IX;Marília;ASSIS
IX;Marília;BASTOS
IX;Marília;BERNARDINO DE CAMPOS
IX;Marília;BORÁ
IX;Marília;CAMPOS NOVOS PAULISTA
IX;Marília;CÂNDIDO MOTA
IX;Marília;CANITAR
IX;Marília;CHAVANTES
IX;Marília;CRUZÁLIA
IX;Marília;ECHAPORÃ
IX;Marília;ESPÍRITO SANTO DO TURVO
IX;Marília;FERNÃO
