Casos Confirmados;Data;DRS;Negativo;Negativo Acc;Número de registros;Obitos Confirmados;Pop Drs;Positivo;Positivo Acc;Positivo Por 1M;Positivo Por Casos;Positivo Por Testes;Teste Por 1M;Teste Por Casos;Total;Total Acc
0;2020-02-05;Grande São Paulo;9;9;1;0;21734682;2;2;0,092;;0,1818;0,5061;;11;11
0;2020-02-06;Grande São Paulo;3;12;1;0;21734682;0;2;0,092;;0,1429;0,6441;;3;14
0;2020-02-07;Grande São Paulo;5;17;1;0;21734682;2;4;0,184;;0,1905;0,9662;;7;21
0;2020-02-08;Grande São Paulo;5;22;1;0;21734682;2;6;0,2761;;0,2143;1,2883;;7;28
0;2020-02-09;Grande São Paulo;5;27;1;0;21734682;2;8;0,3681;;0,2286;1,6103;;7;35
0;2020-02-10;Grande São Paulo;0;27;1;0;21734682;2;10;0,4601;;0,2703;1,7023;;2;37
0;2020-02-11;Grande São Paulo;0;27;1;0;21734682;2;12;0,5521;;0,3077;1,7944;;2;39
0;2020-02-12;Grande São Paulo;2;29;1;0;21734682;3;15;0,6901;;0,3409;2,0244;;5;44
0;2020-02-13;Grande São Paulo;1;30;1;0;21734682;1;16;0,7362;;0,3478;2,1164;;2;46
0;2020-02-14;Grande São Paulo;3;33;1;0;21734682;3;19;0,8742;;0,3654;2,3925;;6;52
0;2020-02-15;Grande São Paulo;3;36;1;0;21734682;3;22;1,0122;;0,3793;2,6685;;6;58
0;2020-02-16;Grande São Paulo;3;39;1;0;21734682;3;25;1,1502;;0,3906;2,9446;;6;64
0;2020-02-17;Grande São Paulo;5;44;1;0;21734682;3;28;1,2883;;0,3889;3,3127;;8;72
0;2020-02-18;Grande São Paulo;3;47;1;0;21734682;0;28;1,2883;;0,3733;3,4507;;3;75
0;2020-02-19;Grande São Paulo;1;48;1;0;21734682;3;31;1,4263;;0,3924;3,6347;;4;79
0;2020-02-20;Grande São Paulo;2;50;1;0;21734682;1;32;1,4723;;0,3902;3,7728;;3;82
0;2020-02-21;Grande São Paulo;2;52;1;0;21734682;1;33;1,5183;;0,3882;3,9108;;3;85
0;2020-02-22;Grande São Paulo;2;54;1;0;21734682;1;34;1,5643;;0,3864;4,0488;;3;88
0;2020-02-23;Grande São Paulo;2;56;1;0;21734682;1;35;1,6103;;0,3846;4,1869;;3;91
0;2020-02-24;Grande São Paulo;1;57;1;0;21734682;0;35;1,6103;;0,3804;4,2329;;1;92
1;2020-02-25;Grande São Paulo;1;58;1;0;21734682;1;36;1,6563;36;0,383;4,3249;94;2;94
1;2020-02-26;Grande São Paulo;1;59;1;0;21734682;1;37;1,7023;37;0,3854;4,4169;96;2;96
1;2020-02-27;Grande São Paulo;4;63;1;0;21734682;1;38;1,7484;38;0,3762;4,647;101;5;101
2;2020-02-28;Grande São Paulo;16;79;1;0;21734682;22;60;2,7606;30;0,4317;6,3953;69,5;38;139
2;2020-02-29;Grande São Paulo;16;95;1;0;21734682;22;82;3,7728;41;0,4633;8,1437;88,5;38;177
2;2020-03-01;Grande São Paulo;16;111;1;0;21734682;22;104;4,785;52;0,4837;9,892;107,5;38;215
2;2020-03-02;Grande São Paulo;50;161;1;0;21734682;18;122;5,6131;61;0,4311;13,0207;141,5;68;283
2;2020-03-03;Grande São Paulo;25;186;1;0;21734682;4;126;5,7972;63;0,4038;14,3549;156;29;312
3;2020-03-04;Grande São Paulo;16;202;1;0;21734682;11;137;6,3033;45,6667;0,4041;15,5972;113;27;339
6;2020-03-05;Grande São Paulo;32;234;1;0;21734682;12;149;6,8554;24,8333;0,389;17,6216;63,8333;44;383
6;2020-03-06;Grande São Paulo;55;289;1;0;21734682;25;174;8,0056;29;0,3758;21,3024;77,1667;80;463
13;2020-03-07;Grande São Paulo;55;344;1;0;21734682;25;199;9,1559;15,3077;0,3665;24,9831;41,7692;80;543
16;2020-03-08;Grande São Paulo;0;344;1;0;21734682;1;200;9,2019;12,5;0,3676;25,0291;34;1;544
16;2020-03-09;Grande São Paulo;62;406;1;0;21734682;21;221;10,1681;13,8125;0,3525;28,8479;39,1875;83;627
19;2020-03-10;Grande São Paulo;49;455;1;0;21734682;19;240;11,0423;12,6316;0,3453;31,9765;36,5789;68;695
30;2020-03-11;Grande São Paulo;55;510;1;0;21734682;20;260;11,9624;8,6667;0,3377;35,4272;25,6667;75;770
46;2020-03-12;Grande São Paulo;40;550;1;0;21734682;24;284;13,0667;6,1739;0,3405;38,3719;18,1304;64;834
46;2020-03-13;Grande São Paulo;48;598;1;0;21734682;12;296;13,6188;6,4348;0,3311;41,1324;19,4348;60;894
65;2020-03-14;Grande São Paulo;26;624;1;0;21734682;8;304;13,9869;4,6769;0,3276;42,6967;14,2769;34;928
65;2020-03-15;Grande São Paulo;60;684;1;0;21734682;22;326;14,9991;5,0154;0,3228;46,4695;15,5385;82;1010
152;2020-03-16;Grande São Paulo;51;735;1;0;21734682;25;351;16,1493;2,3092;0,3232;49,9662;7,1447;76;1086
