"state","denv_soro","ckg_soro","zika_soro"
"AC",31.7,7.5,5.44662309368192
"AM",38.7,6.8,22.8855721393035
"AP",14.2,12.6,18.0555555555556
"PA",18.5,7.5,29.4117647058823
"RO",26,7.9,20.7920792079208
"RR",23.7,8.2,16.1290322580645
"TO",22.9,13.4,7.69230769230769
"AL",30.2,21.6,38.0281690140845
"BA",26.6,49.4,14.4409937888199
"CE",37.4,18.7,22.4821973550356
"MA",16.9,19.3,28.0898876404494
"PB",25.9,38.6,22.2978080120937
"PE",34.3,41.4,1.34128166915052
"PI",18.5,21.4,22.0812182741117
"RN",20.6,58.3,50.3366336633663
"SE",20,61.7,15.7123834886818
"ES",35.7,61.3,20.1564380264741
"MG",46.6,19.3,5.72057205720572
"RJ",18.2,28.5,4.82954545454545
"SP",47.6,9.2,5.35714285714286
"PR",64.2,1.5,8.60215053763441
"RS",49.6,5,12.4489795918367
"SC",40,3.5,5.97014925373134
"DF",24.4,14.3,0
"GO",39.3,0.9,1.57303370786517
"MS",34.3,5.6,12.4415341440599
"MT",37.7,"nan","nan"
