"","nome","City","State","MicroRegion","MesoRegion","Region","cod","leitos","pop","leitos100k"
"1","ALTA FLORESTA D'OESTE",1100015,11,11006,1102,1,"110001",NA,22945,0
"2","ARIQUEMES",1100023,11,11003,1102,1,"110002",18,107863,16.6878354950261
"3","CABIXI",1100031,11,11008,1102,1,"110003",NA,5312,0
"4","CACOAL",1100049,11,11006,1102,1,"110004",16,85359,18.7443620473529
"5","CEREJEIRAS",1100056,11,11008,1102,1,"110005",NA,16323,0
"6","COLORADO DO OESTE",1100064,11,11008,1102,1,"110006",NA,15882,0
"7","CORUMBIARA",1100072,11,11008,1102,1,"110007",NA,7391,0
"8","COSTA MARQUES",1100080,11,11002,1101,1,"110008",NA,18331,0
"9","ESPIGÃO D'OESTE",1100098,11,11006,1102,1,"110009",NA,32374,0
"10","GUAJARÁ-MIRIM",1100106,11,11002,1101,1,"110010",NA,46174,0
"11","JARU",1100114,11,11004,1102,1,"110011",5,51775,9.65717044905842
"12","JI-PARANÁ",1100122,11,11004,1102,1,"110012",NA,128969,0
"13","MACHADINHO D'OESTE",1100130,11,11003,1102,1,"110013",NA,39991,0
"14","NOVA BRASILÂNDIA D'OESTE",1100148,11,11005,1102,1,"110014",NA,20474,0
"15","OURO PRETO DO OESTE",1100155,11,11004,1102,1,"110015",7,36035,19.4255584848064
"16","PIMENTA BUENO",1100189,11,11007,1102,1,"110018",NA,36660,0
"17","PORTO VELHO",1100205,11,11001,1101,1,"110020",103,529544,19.4506972036318
"18","PRESIDENTE MÉDICI",1100254,11,11004,1102,1,"110025",NA,18986,0
"19","RIO CRESPO",1100262,11,11003,1102,1,"110026",NA,3764,0
"20","ROLIM DE MOURA",1100288,11,11006,1102,1,"110028",NA,55058,0
"21","SANTA LUZIA D'OESTE",1100296,11,11006,1102,1,"110029",NA,6495,0
"22","VILHENA",1100304,11,11007,1102,1,"110030",10,99854,10.0146213471669
"23","SÃO MIGUEL DO GUAPORÉ",1100320,11,11005,1102,1,"110032",NA,23005,0
"24","NOVA MAMORÉ",1100338,11,11001,1101,1,"110033",NA,30583,0
"25","ALVORADA D'OESTE",1100346,11,11005,1102,1,"110034",NA,14411,0
"26","ALTO ALEGRE DOS PARECIS",1100379,11,11006,1102,1,"110037",NA,13241,0
"27","ALTO PARAÍSO",1100403,11,11003,1102,1,"110040",NA,21428,0
"28","BURITIS",1100452,11,11001,1101,1,"110045",NA,39654,0
"29","NOVO HORIZONTE DO OESTE",1100502,11,11006,1102,1,"110050",NA,8538,0
"30","CACAULÂNDIA",1100601,11,11003,1102,1,"110060",NA,6230,0
"31","CAMPO NOVO DE RONDÔNIA",1100700,11,11001,1101,1,"110070",NA,14139,0
"32","CANDEIAS DO JAMARI",1100809,11,11001,1101,1,"110080",NA,26693,0
"33","CASTANHEIRAS",1100908,11,11006,1102,1,"110090",NA,3052,0
"34","CHUPINGUAIA",1100924,11,11007,1102,1,"110092",NA,11182,0
"35","CUJUBIM",1100940,11,11001,1101,1,"110094",NA,25215,0
"36","GOVERNADOR JORGE TEIXEIRA",1101005,11,11004,1102,1,"110100",NA,7767,0
"37","ITAPUÃ DO OESTE",1101104,11,11001,1101,1,"110110",NA,10458,0
"38","MINISTRO ANDREAZZA",1101203,11,11006,1102,1,"110120",NA,9660,0
"39","MIRANTE DA SERRA",1101302,11,11004,1102,1,"110130",NA,10947,0
"40","MONTE NEGRO",1101401,11,11003,1102,1,"110140",NA,15852,0
"41","NOVA UNIÃO",1101435,11,11004,1102,1,"110143",NA,6970,0
"42","PARECIS",1101450,11,11007,1102,1,"110145",NA,6074,0
"43","PIMENTEIRAS DO OESTE",1101468,11,11008,1102,1,"110146",NA,2169,0
"44","PRIMAVERA DE RONDÔNIA",1101476,11,11007,1102,1,"110147",NA,2856,0
"45","SÃO FELIPE D'OESTE",1101484,11,11007,1102,1,"110148",NA,5172,0
"46","SÃO FRANCISCO DO GUAPORÉ",1101492,11,11002,1101,1,"110149",NA,20266,0
"47","SERINGUEIRAS",1101500,11,11005,1102,1,"110150",NA,11856,0
"48","TEIXEIRÓPOLIS",1101559,11,11004,1102,1,"110155",NA,4308,0
"49","THEOBROMA",1101609,11,11004,1102,1,"110160",NA,10444,0
"50","URUPÁ",1101708,11,11004,1102,1,"110170",NA,11467,0
"51","VALE DO ANARI",1101757,11,11003,1102,1,"110175",NA,11204,0
"52","VALE DO PARAÍSO",1101807,11,11004,1102,1,"110180",NA,6825,0
"53","ACRELÂNDIA",1200013,12,12004,1202,1,"120001",NA,15256,0
"54","ASSIS BRASIL",1200054,12,12005,1202,1,"120005",NA,7417,0
"55","BRASILÉIA",1200104,12,12005,1202,1,"120010",14,26278,53.276505061268
"56","BUJARI",1200138,12,12004,1202,1,"120013",NA,10266,0
"57","CAPIXABA",1200179,12,12004,1202,1,"120017",NA,11733,0
"58","CRUZEIRO DO SUL",1200203,12,12001,1201,1,"120020",10,88376,11.3152892187924
"59","EPITACIOLÂNDIA",1200252,12,12005,1202,1,"120025",NA,18411,0
"60","FEIJÓ",1200302,12,12002,1201,1,"120030",NA,34780,0
"61","JORDÃO",1200328,12,12002,1201,1,"120032",NA,8317,0
"62","MÂNCIO LIMA",1200336,12,12001,1201,1,"120033",NA,18977,0
"63","MANOEL URBANO",1200344,12,12003,1202,1,"120034",NA,9459,0
"64","MARECHAL THAUMATURGO",1200351,12,12001,1201,1,"120035",NA,18867,0
"65","PLÁCIDO DE CASTRO",1200385,12,12004,1202,1,"120038",NA,19761,0
"66","PORTO WALTER",1200393,12,12001,1201,1,"120039",NA,11982,0
"67","RIO BRANCO",1200401,12,12004,1202,1,"120040",40,407319,9.82031282606507
"68","RODRIGUES ALVES",1200427,12,12001,1201,1,"120042",NA,18930,0
"69","SANTA ROSA DO PURUS",1200435,12,12003,1202,1,"120043",NA,6540,0
"70","SENADOR GUIOMARD",1200450,12,12004,1202,1,"120045",NA,23024,0
"71","SENA MADUREIRA",1200500,12,12003,1202,1,"120050",NA,45848,0
"72","TARAUACÁ",1200609,12,12002,1201,1,"120060",NA,42567,0
"73","XAPURI",1200708,12,12005,1202,1,"120070",NA,19323,0
"74","PORTO ACRE",1200807,12,12004,1202,1,"120080",NA,18504,0
"75","ALVARÃES",1300029,13,13005,1303,1,"130002",NA,16041,0
"76","AMATURÁ",1300060,13,13003,1302,1,"130006",NA,11536,0
"77","ANAMÃ",1300086,13,13006,1303,1,"130008",NA,13614,0
"78","ANORI",1300102,13,13006,1303,1,"130010",NA,21010,0
"79","APUÍ",1300144,13,13013,1304,1,"130014",NA,21973,0
"80","ATALAIA DO NORTE",1300201,13,13003,1302,1,"130020",NA,19921,0
"81","AUTAZES",1300300,13,13007,1303,1,"130030",NA,39565,0
"82","BARCELOS",1300409,13,13001,1301,1,"130040",NA,27502,0
"83","BARREIRINHA",1300508,13,13010,1303,1,"130050",NA,32041,0
"84","BENJAMIN CONSTANT",1300607,13,13003,1302,1,"130060",NA,42984,0
"85","BERURI",1300631,13,13006,1303,1,"130063",NA,19679,0
"86","BOA VISTA DO RAMOS",1300680,13,13010,1303,1,"130068",NA,19207,0
"87","BOCA DO ACRE",1300706,13,13011,1304,1,"130070",6,34308,17.4886323889472
"88","BORBA",1300805,13,13013,1304,1,"130080",12,41161,29.1538106459999
"89","CAAPIRANGA",1300839,13,13006,1303,1,"130083",NA,13081,0
"90","CANUTAMA",1300904,13,13012,1304,1,"130090",NA,15629,0
"91","CARAUARI",1301001,13,13004,1302,1,"130100",NA,28294,0
"92","CAREIRO",1301100,13,13007,1303,1,"130110",NA,37869,0
"93","CAREIRO DA VÁRZEA",1301159,13,13007,1303,1,"130115",NA,30225,0
"94","COARI",1301209,13,13006,1303,1,"130120",NA,85097,0
"95","CODAJÁS",1301308,13,13006,1303,1,"130130",NA,28637,0
"96","EIRUNEPÉ",1301407,13,13004,1302,1,"130140",NA,35273,0
"97","ENVIRA",1301506,13,13004,1302,1,"130150",NA,20033,0
"98","FONTE BOA",1301605,13,13003,1302,1,"130160",NA,17609,0
"99","GUAJARÁ",1301654,13,13004,1302,1,"130165",NA,16678,0
"100","HUMAITÁ",1301704,13,13013,1304,1,"130170",NA,55080,0
"101","IPIXUNA",1301803,13,13004,1302,1,"130180",NA,29689,0
"102","IRANDUBA",1301852,13,13007,1303,1,"130185",NA,48296,0
"103","ITACOATIARA",1301902,13,13009,1303,1,"130190",NA,101337,0
"104","ITAMARATI",1301951,13,13004,1302,1,"130195",NA,7851,0
"105","ITAPIRANGA",1302009,13,13009,1303,1,"130200",NA,9148,0
"106","JAPURÁ",1302108,13,13002,1301,1,"130210",NA,2755,0
