ibge,Município,arrival10week,arrival100week
2304400,Fortaleza,12,13
2408003,Mossoró,13,17
2307304,Juazeiro do Norte,18,22
2918407,Juazeiro,20,23
2504009,Campina Grande,16,20
2604106,Caruaru,16,20
2408102,Natal,13,15
2403251,Parnamirim,14,18
2507507,João Pessoa,14,16
2611606,Recife,12,14
2704302,Maceió,13,16
2700300,Arapiraca,18,21
2800308,Aracaju,13,18
2900702,Alagoinhas,20,23
2910800,Feira de Santana,14,19
2927408,Salvador,12,14
2918001,Jequié,16,20
2933307,Vitória da Conquista,15,21
2914802,Itabuna,15,17
2925303,Porto Seguro,15,23
2931350,Teixeira de Freitas,18,23
3168606,Teófilo Otoni,18,21
3127701,Governador Valadares,17,21
3204906,São Mateus,16,21
3131307,Ipatinga,17,22
3106200,Belo Horizonte,12,13
3203205,Linhares,16,22
3205309,Vitória,12,15
3201209,Cachoeiro de Itapemirim,18,21
3301009,Campos dos Goytacazes,18,19
3136702,Juiz de Fora,13,17
3303906,Petrópolis,14,19
3303401,Nova Friburgo,15,20
3303302,Niterói,13,15
3304557,Rio de Janeiro,11,13
3303500,Nova Iguaçu,14,16
3306305,Volta Redonda,13,16
3549904,São José dos Campos,14,16
3548500,Santos,14,15
3518800,Guarulhos,13,15
3550308,São Paulo,10,12
4106902,Curitiba,12,14
4209102,Joinville,14,17
4202404,Blumenau,13,18
4208203,Itajaí,13,19
4209300,Lages,16,23
4205407,Florianópolis,13,15
4204608,Criciúma,13,18
4305108,Caxias do Sul,14,21
4218707,Tubarão,14,21
4313409,Novo Hamburgo,14,21
4314902,Porto Alegre,12,13
4304606,Canoas,15,22
4314407,Pelotas,16,23
4315602,Rio Grande,21,25
