id,pop,domain
Aricanduva/Formosa/Carrão,266157,BRA
Butantã,468212,BRA
Campo Limpo,674736,BRA
Capela do Socorro,605383,BRA
Casa Verde,306275,BRA
Cidade Ademar,412804,BRA
Cidade Tiradentes,194067,BRA
Ermelino Matarazzo,202164,BRA
Freguesia do Ó/Brasilândia,380833,BRA
Guaianases,273707,BRA
Ipiranga,480869,BRA
Itaim Paulista,345968,BRA
Itaquera,550650,BRA
Jabaquara,214991,BRA
Jaçanã/Tremembé,283892,BRA
Lapa,338347,BRA
M'Boi Mirim,571671,BRA
Mooca,377163,BRA
Parelheiros,165138,BRA
Penha,472807,BRA
Perus,163076,BRA
Pinheiros,285815,BRA
Pirituba/Jaraguá,479905,BRA
Santana/Tucuruvi,318913,BRA
Santo Amaro,272308,BRA
Sapopemba,266715,BRA
São Mateus,453355,BRA
São Miguel Paulista,344609,BRA
Sé,423536,BRA
Vila Maria/Vila Guilherme,276069,BRA
Vila Mariana,337654,BRA
Vila Prudente,243728,BRA
