ID,CD_GCUF,NM_UF,NM_UF_SIGLA,CD_GCMUN,NM_MUN_2019,AR_MUN_2019
1,11,Rondônia,RO,1100015,ALTA FLORESTA D'OESTE,7067.025
2,11,Rondônia,RO,1100023,ARIQUEMES,4426.571
3,11,Rondônia,RO,1100031,CABIXI,1314.352
4,11,Rondônia,RO,1100049,CACOAL,3792.892
5,11,Rondônia,RO,1100056,CEREJEIRAS,2783.3
6,11,Rondônia,RO,1100064,COLORADO DO OESTE,1451.06
7,11,Rondônia,RO,1100072,CORUMBIARA,3060.321
8,11,Rondônia,RO,1100080,COSTA MARQUES,4987.177
9,11,Rondônia,RO,1100098,ESPIGÃO D'OESTE,4518.038
10,11,Rondônia,RO,1100106,GUAJARÁ-MIRIM,24855.724
11,11,Rondônia,RO,1100114,JARU,2944.128
12,11,Rondônia,RO,1100122,JI-PARANÁ,6896.649
13,11,Rondônia,RO,1100130,MACHADINHO D'OESTE,8509.27
14,11,Rondônia,RO,1100148,NOVA BRASILÂNDIA D'OESTE,1703.008
15,11,Rondônia,RO,1100155,OURO PRETO DO OESTE,1969.85
16,11,Rondônia,RO,1100189,PIMENTA BUENO,6240.94
17,11,Rondônia,RO,1100205,PORTO VELHO,34090.952
18,11,Rondônia,RO,1100254,PRESIDENTE MÉDICI,1758.465
19,11,Rondônia,RO,1100262,RIO CRESPO,1717.64
20,11,Rondônia,RO,1100288,ROLIM DE MOURA,1457.888
21,11,Rondônia,RO,1100296,SANTA LUZIA D'OESTE,1197.796
22,11,Rondônia,RO,1100304,VILHENA,11699.15
23,11,Rondônia,RO,1100320,SÃO MIGUEL DO GUAPORÉ,7460.219
24,11,Rondônia,RO,1100338,NOVA MAMORÉ,10071.643
25,11,Rondônia,RO,1100346,ALVORADA D'OESTE,3029.189
26,11,Rondônia,RO,1100379,ALTO ALEGRE DOS PARECIS,3958.273
27,11,Rondônia,RO,1100403,ALTO PARAÍSO,2651.822
28,11,Rondônia,RO,1100452,BURITIS,3265.809
29,11,Rondônia,RO,1100502,NOVO HORIZONTE DO OESTE,843.446
30,11,Rondônia,RO,1100601,CACAULÂNDIA,1961.778
31,11,Rondônia,RO,1100700,CAMPO NOVO DE RONDÔNIA,3442.005
32,11,Rondônia,RO,1100809,CANDEIAS DO JAMARI,6843.868
33,11,Rondônia,RO,1100908,CASTANHEIRAS,892.841
34,11,Rondônia,RO,1100924,CHUPINGUAIA,5126.723
35,11,Rondônia,RO,1100940,CUJUBIM,3863.946
36,11,Rondônia,RO,1101005,GOVERNADOR JORGE TEIXEIRA,5067.384
37,11,Rondônia,RO,1101104,ITAPUÃ DO OESTE,4081.58
38,11,Rondônia,RO,1101203,MINISTRO ANDREAZZA,798.083
39,11,Rondônia,RO,1101302,MIRANTE DA SERRA,1191.875
40,11,Rondônia,RO,1101401,MONTE NEGRO,1931.378
41,11,Rondônia,RO,1101435,NOVA UNIÃO,807.125
42,11,Rondônia,RO,1101450,PARECIS,2548.683
43,11,Rondônia,RO,1101468,PIMENTEIRAS DO OESTE,6014.733
44,11,Rondônia,RO,1101476,PRIMAVERA DE RONDÔNIA,605.692
45,11,Rondônia,RO,1101484,SÃO FELIPE D'OESTE,541.647
46,11,Rondônia,RO,1101492,SÃO FRANCISCO DO GUAPORÉ,10959.767
47,11,Rondônia,RO,1101500,SERINGUEIRAS,3773.505
48,11,Rondônia,RO,1101559,TEIXEIRÓPOLIS,459.978
49,11,Rondônia,RO,1101609,THEOBROMA,2197.413
50,11,Rondônia,RO,1101708,URUPÁ,831.857
51,11,Rondônia,RO,1101757,VALE DO ANARI,3135.106
52,11,Rondônia,RO,1101807,VALE DO PARAÍSO,965.676
53,12,Acre,AC,1200013,ACRELÂNDIA,1807.953
54,12,Acre,AC,1200054,ASSIS BRASIL,4974.174
55,12,Acre,AC,1200104,BRASILÉIA,3916.505
56,12,Acre,AC,1200138,BUJARI,3034.869
57,12,Acre,AC,1200179,CAPIXABA,1701.973
58,12,Acre,AC,1200203,CRUZEIRO DO SUL,8779.407
59,12,Acre,AC,1200252,EPITACIOLÂNDIA,1654.769
60,12,Acre,AC,1200302,FEIJÓ,27975.427
