"municipio","estado","ibge","rodovia","tipo","mun2"
"Mâncio Lima","AC",1200336,"BR364","diagonal","Mâncio Lima/AC"
"Cruzeiro do Sul","AC",1200203,"BR364","diagonal","Cruzeiro do Sul/AC"
"Tarauacá","AC",1200609,"BR364","diagonal","Tarauacá/AC"
"Feijó","AC",1200302,"BR364","diagonal","Feijó/AC"
"Manoel Urbano","AC",1200344,"BR364","diagonal","Manoel Urbano/AC"
"Sena Madureira","AC",1200500,"BR364","diagonal","Sena Madureira/AC"
"Bujari","AC",1200138,"BR364","diagonal","Bujari/AC"
"Rio Branco","AC",1200401,"BR364","diagonal","Rio Branco/AC"
"Acrelândia","AC",1200013,"BR364","diagonal","Acrelândia/AC"
"Lábrea","AM",1302405,"BR364","diagonal","Lábrea/AM"
"Porto Velho","RO",1100205,"BR364","diagonal","Porto Velho/RO"
"Itapuã do Oeste","RO",1101104,"BR364","diagonal","Itapuã do Oeste/RO"
"Ariquemes","RO",1100023,"BR364","diagonal","Ariquemes/RO"
"Jaru","RO",1100114,"BR364","diagonal","Jaru/RO"
"Ouro Preto do Oeste","RO",1100155,"BR364","diagonal","Ouro Preto do Oeste/RO"
"Ji-Paraná","RO",1100122,"BR364","diagonal","Ji-Paraná/RO"
"Presidente Médici","RO",1100254,"BR364","diagonal","Presidente Médici/RO"
"Cacoal","RO",1100049,"BR364","diagonal","Cacoal/RO"
"Pimenta Bueno","RO",1100189,"BR364","diagonal","Pimenta Bueno/RO"
"Vilhena","RO",1100304,"BR364","diagonal","Vilhena/RO"
"Comodoro","MT",5103304,"BR364","diagonal","Comodoro/MT"
"Campos de Júlio","MT",5102686,"BR364","diagonal","Campos de Júlio/MT"
"Sapezal","MT",5107875,"BR364","diagonal","Sapezal/MT"
"Brasnorte","MT",5101902,"BR364","diagonal","Brasnorte/MT"
"Nova Marilândia","MT",5108857,"BR364","diagonal","Nova Marilândia/MT"
"Diamantino","MT",5103502,"BR364","diagonal","Diamantino/MT"
"Nobres","MT",5105903,"BR364","diagonal","Nobres/MT"
"Campo Novo do Parecis","MT",5102637,"BR364","diagonal","Campo Novo do Parecis/MT"
"Rosário Oeste","MT",5107701,"BR364","diagonal","Rosário Oeste/MT"
"Jangada","MT",5104906,"BR364","diagonal","Jangada/MT"
"Acorizal","MT",5100102,"BR364","diagonal","Acorizal/MT"
"Várzea Grande","MT",5108402,"BR364","diagonal","Várzea Grande/MT"
"Cuiabá","MT",5103403,"BR364","diagonal","Cuiabá/MT"
"Campo Verde","MT",5102678,"BR364","diagonal","Campo Verde/MT"
"Jaciara","MT",5104807,"BR364","diagonal","Jaciara/MT"
"Juscimeira","MT",5105200,"BR364","diagonal","Juscimeira/MT"
"Rondonópolis","MT",5107602,"BR364","diagonal","Rondonópolis/MT"
"Pedra Preta","MT",5106372,"BR364","diagonal","Pedra Preta/MT"
"Alto Garças","MT",5100409,"BR364","diagonal","Alto Garças/MT"
"Alto Araguaia","MT",5100300,"BR364","diagonal","Alto Araguaia/MT"
"Santa Rita do Araguaia","GO",5219407,"BR364","diagonal","Santa Rita do Araguaia/GO"
"Mineiros","GO",5213103,"BR364","diagonal","Mineiros/GO"
"Portelândia","GO",5218102,"BR364","diagonal","Portelândia/GO"
"Jataí","GO",5211909,"BR364","diagonal","Jataí/GO"
"Aparecida do Rio Doce","GO",5201454,"BR364","diagonal","Aparecida do Rio Doce/GO"
"Cachoeira Alta","GO",5204102,"BR364","diagonal","Cachoeira Alta/GO"
"Paranaiguara","GO",5216304,"BR364","diagonal","Paranaiguara/GO"
"São Simão","GO",5220405,"BR364","diagonal","São Simão/GO"
"Santa Vitória","MG",3159803,"BR364","diagonal","Santa Vitória/MG"
"Gurinhatã","MG",3129103,"BR364","diagonal","Gurinhatã/MG"
"Campina Verde","MG",3111101,"BR364","diagonal","Campina Verde/MG"
"Itapagipe","MG",3133402,"BR364","diagonal","Itapagipe/MG"
"Comendador Gomes","MG",3116902,"BR364","diagonal","Comendador Gomes/MG"
"Frutal","MG",3127107,"BR364","diagonal","Frutal/MG"
"Planura","MG",3151602,"BR364","diagonal","Planura/MG"
"Colômbia","SP",3512100,"BR364","diagonal","Colômbia/SP"
"Barretos","SP",3505500,"BR364","diagonal","Barretos/SP"
"Colina","SP",3512001,"BR364","diagonal","Colina/SP"
"Bebedouro","SP",3506102,"BR364","diagonal","Bebedouro/SP"
"Taquaral","SP",3553658,"BR364","diagonal","Taquaral/SP"
"Taiúva","SP",3553203,"BR364","diagonal","Taiúva/SP"
"Jaboticabal","SP",3524303,"BR364","diagonal","Jaboticabal/SP"
"Santa Ernestina","SP",3546504,"BR364","diagonal","Santa Ernestina/SP"
"Dobrada","SP",3514007,"BR364","diagonal","Dobrada/SP"
"Matão","SP",3529302,"BR364","diagonal","Matão/SP"
"Araraquara","SP",3503208,"BR364","diagonal","Araraquara/SP"
"Ibaté","SP",3519303,"BR364","diagonal","Ibaté/SP"
