Sede de governo,Unidade federativa,Clima (Köppen),T. máx. abs.,T. máx. méd.,T. méd.,T. mín. méd.,T. mín. abs.,Precip. anual
 Aracaju, Sergipe,As',"35,3 °C","28,5 °C","26,0 °C","23,2 °C","11,0 °C","1 695,2mm"
 Belém,  Pará,Af,"38,5 °C","31,5 °C","25,9 °C","22,1 °C","18,5 °C","2 921,7mm"
 Belo Horizonte, Minas Gerais,Aw/Cwa,"37,4 °C","27,1 °C","21,1 °C","16,7 °C","0,1 °C","1 463,7mm"
 Boa Vista, Roraima,Aw,"42,0 °C","32,4 °C","27,4 °C","23,2 °C","10,2 °C","1 420,4mm"
 Brasília, Distrito Federal,Aw,"35,8 °C","26,6 °C","20,6 °C","16,1 °C","1,6 °C","1 540,6mm"
 Campo Grande, Mato Grosso do Sul,Aw,"40,2 °C","28,8 °C","22,8 °C","18,0 °C","-0,9 °C","1 533,8mm"
 Cuiabá, Mato Grosso,Aw,44 °C,"38,6 °C","31,8 °C","27,4 °C","3,3 °C","1 342,3mm"
 Curitiba, Paraná,Cfb,"35,2 °C","23,1 °C","16,8 °C","12,5 °C","-5,4 °C","1 483,4mm"
 Florianópolis, Santa Catarina,Cfa,"40,0 °C","24,2 °C","20,4 °C","17,5 °C","0,7 °C","1 517,8mm"
 Fortaleza, Ceará,As',"37,0 °C","30,1 °C","26,6 °C","23,6 °C","19,4 °C","1 608,4mm"
 Goiânia, Goiás,Aw,"40,4 °C","29,8 °C","23,2 °C","17,7 °C","2,6 °C","1 571,4mm"
 João Pessoa, Paraíba,As',"34,8 °C","29,3 °C","26,1 °C","22,5 °C","15,0 °C","2 145,4mm"
Maceió, Alagoas,As',"38,4 °C","28,9 °C","24,8 °C","21,6 °C","11,3 °C","2 070,5mm"
Macapá, Amapá , Am ," 39,6 °C "," 30,7 °C "," 26,6 °C "," 23,3 °C "," 19,6 °C "," 2 561,3mm "
 Manaus, Amazonas,Am,"39,0 °C","31,4 °C","26,7 °C","23,3 °C","12,0 °C","2 307,4mm"
 Natal, Rio Grande do Norte,As',"34,0 °C","29,3 °C","26,0 °C","22,5 °C","10,6 °C","1 465,4mm"
 Palmas, Tocantins,Aw,"43,0 °C","32,1 °C","25,0 °C","19,4 °C","11,5 °C","1 301,2mm"
  Porto Alegre, Rio Grande do Sul,Cfa,"40,6 °C","24,8 °C","19,5 °C","15,6 °C","-4,0 °C","1 320,2mm"
 Porto Velho, Rondônia,Am,"40,9 °C","32,3 °C","25,6 °C","20,9 °C","7,4 °C","2 255,4mm"
 Recife, Pernambuco,As',"35,1 °C","29,1 °C","25,5 °C","21,8 °C","15,0 °C","2 417,6mm"
 Rio Branco, Acre,Am,"39,8 °C","31,5 °C","24,8 °C","19,8 °C","6,0 °C","1 947,5mm"
 Rio de Janeiro, Rio de Janeiro,Aw,"42,5ºC","34,7ºc","31,9 °C","21,2ºC","11,3ºC","1 251,0 mm"
 Salvador,  Bahia,Af,"37,0 °C","33,7 °C","28,3 °C","26,3 °C","15,3 °C","2 144,1mm"
 São Luís, Maranhão,Am,"37,2 °C","30,4 °C","26,1 °C","23,3 °C","13,1 °C","2 290,0mm"
 São Paulo, São Paulo,Cfa,"38,8 °C","26,9 °C","23,2 °C","13,6 °C","1,8 °C","1 441,0mm"
 Teresina, Piauí,Aw',"41,1 °C","33,5 °C","27,1 °C","22,1 °C","10,4 °C","1 393,2mm"
Vitória, Espírito Santo,Aw,"37,7 °C","23,1 °C","15,2 °C","13,7 °C","-1,3 °C","1 252,3mm"
