inloco_name,ibge_name,distance_measure
Microrregião de Araripina,Araripina,0
Microrregião dos Lencóis Maranhenses,Lençóis Maranhenses,1
Microrregião de Paranaíba,Paranaíba,0
Microrregião de Dourados,Dourados,0
Microrregião de Floriano,Floriano,0
Microrregião Januária,Januária,0
Microrregião do Litoral de Camocim e Acaraú,Litoral de Camocim e Acaraú,0
Microrregião de Oiapoque,Oiapoque,0
Microrregião de Serra de Santana,Serra de Santana,0
Microrregião do Alto Mearim e Grajaú,Alto Mearim e Grajaú,0
Microrregião Araçuaí,Araçuaí,0
Microrregião de Campo Grande,Campo Grande,0
Microrregião Caratinga,Caratinga,0
Microrregião de Macapá,Macapá,0
Microrregião de Cassilândia,Cassilândia,0
Microrregião de Catalão,Catalão,0
Microrregião das Chapadas do Extremo Sul Piauiense,Chapadas do Extremo Sul Piauiense,0
Microrregião de São Joaquim da Barra,São Joaquim da Barra,0
Microrregião de Almeirim,Almeirim,0
Microrregião de São Miguel D'Oeste,São Miguel do Oeste,3
Microrregião de Avaré,Avaré,0
Microrregião de Concórdia,Concórdia,0
Microrregião Itaguaí,Itaguaí,0
Microrregião Itaperuna,Itaperuna,0
Microrregião de Santa Maria da Vitória,Santa Maria da Vitória,0
Microrregião de Bragança Paulista,Bragança Paulista,0
Microrregião de Porto Nacional,Porto Nacional,0
Microrregião de Pirassununga,Pirassununga,0
Microrregião de Pitanga,Pitanga,0
Microrregião de Chapecó,Chapecó,0
Microrregião de Joinville,Joinville,0
Microrregião de Lavras da Mangabeira,Lavras da Mangabeira,0
Microrregião de Santos,Santos,0
Microrregião de Franco da Rocha,Franco da Rocha,0
Microrregião Jaguaraíva,Jaguariaíva,1
Microrregião de Santa Maria,Santa Maria,0
Microrregião do Sertão do Moxotó,Sertão do Moxotó,0
Microrregião do Baixo Parnaíba Maranhense,Baixo Parnaíba Maranhense,0
Microrregião Sete Lagoas,Sete Lagoas,0
Microrregião de Valença do Piauí,Valença do Piauí,0
Microrregião de São José dos Campos,São José dos Campos,0
Microrregião de Caraguatatuba,Caraguatatuba,0
Microrregião Astorga,Astorga,0
Microrregião de Bananal,Bananal,0
Microrregião Barra do Piraí,Barra do Piraí,0
Microrregião de Moji-Mirim,Mogi Mirim,2
Microrregião Andrelândia,Andrelândia,0
Microrregião de Belém,Belém,0
Microrregião de Caracaraí,Caracaraí,0
Microrregião Governador Valadares,Governador Valadares,0
Microrregião de Sorocaba,Sorocaba,0
Microrregião de Fernandópolis,Fernandópolis,0
Microrregião de São Paulo,São Paulo,0
Microrregião Colatina,Colatina,0
Microrregião Pedra Azul,Pedra Azul,0
Microrregião de Pires do Rio,Pires do Rio,0
Microrregião de Santo Ângelo,Santo Ângelo,0
Microrregião de São Raimundo Nonato,São Raimundo Nonato,0
Microrregião de Bom Jesus da Lapa,Bom Jesus da Lapa,0
