"micro_reg_id","micro_reg_name","isolated","dt","ibge","ibge.conf","ibge.code"
"5913914403205749cd16d5ca","Microrregião de Araripina",0.443694061276381,"2020-05-14","ARARIPINA","ARARIPINA","26001"
"5913914503205749cd16d9e9","Microrregião dos Lencóis Maranhenses",0.474965172305986,"2020-05-14","LENÇÓIS MARANHENSES","LENÇÓIS MARANHENSES","21004"
"5913912a03205749cd165317","Microrregião de Paranaíba",0.373719858023819,"2020-05-14","PARANAÍBA","PARANAÍBA","50006"
"5913912903205749cd165010","Microrregião de Dourados",0.401036118478817,"2020-05-14","DOURADOS","DOURADOS","50010"
"5913914c03205749cd16fa55","Microrregião de Floriano",0.38499505594291,"2020-05-14","FLORIANO","FLORIANO","22009"
"59138d8c03205749cd051b77","Microrregião Januária",0.38880124576345,"2020-05-14","JANUÁRIA","JANUÁRIA","31003"
"5913914d03205749cd16fedf","Microrregião do Litoral de Camocim e Acaraú",0.503926935513267,"2020-05-14","LITORAL DE CAMOCIM E ACARAÚ","LITORAL DE CAMOCIM E ACARAÚ","23001"
"5913912303205749cd162fa7","Microrregião de Oiapoque",0.557145870741288,"2020-05-14","OIAPOQUE","OIAPOQUE","16001"
"5913915703205749cd1739f3","Microrregião de Serra de Santana",0.423883764621766,"2020-05-14","SERRA DE SANTANA","SERRA DE SANTANA","24010"
"5913914803205749cd16e4a7","Microrregião do Alto Mearim e Grajaú",0.483129967996624,"2020-05-14","ALTO MEARIM E GRAJAÚ","ALTO MEARIM E GRAJAÚ","21011"
"59138d8c03205749cd051b5b","Microrregião Araçuaí",0.390535750525187,"2020-05-14","ARAÇUAÍ","ARAÇUAÍ","31012"
"5913912a03205749cd16525a","Microrregião de Campo Grande",0.372821804666972,"2020-05-14","CAMPO GRANDE","CAMPO GRANDE","50004"
"59138d8c03205749cd051b64","Microrregião Caratinga",0.383694201177597,"2020-05-14","CARATINGA","CARATINGA","31040"
"5913912303205749cd162f9a","Microrregião de Macapá",0.498965462453567,"2020-05-14","MACAPÁ","MACAPÁ","16003"
"5913912a03205749cd165313","Microrregião de Cassilândia",0.374782765798113,"2020-05-14","CASSILÂNDIA","CASSILÂNDIA","50005"
"5913913403205749cd168605","Microrregião de Catalão",0.393010785425988,"2020-05-14","CATALÃO","CATALÃO","52017"
"5913914c03205749cd16fa70","Microrregião das Chapadas do Extremo Sul Piauiense",0.400503820408813,"2020-05-14","CHAPADAS DO EXTREMO SUL PIAUIENSE","CHAPADAS DO EXTREMO SUL PIAUIENSE","22012"
"5913911503205749cd15f21d","Microrregião de São Joaquim da Barra",0.376561825787152,"2020-05-14","SÃO JOAQUIM DA BARRA","SÃO JOAQUIM DA BARRA","35010"
"5913912303205749cd1631c1","Microrregião de Almeirim",0.410097820762961,"2020-05-14","ALMEIRIM","ALMEIRIM","15003"
"5913912a03205749cd16533d","Microrregião de São Miguel D'Oeste",0.39268310440925,"2020-05-14","SÃO MIGUEL DO OESTE","SÃO MIGUEL DO OESTE","42001"
"5913911203205749cd15dda3","Microrregião de Avaré",0.399123033730796,"2020-05-14","AVARÉ","AVARÉ","35022"
"5913912a03205749cd165349","Microrregião de Concórdia",0.390161378811129,"2020-05-14","CONCÓRDIA","CONCÓRDIA","42005"
"59138d8503205749cd04ff0e","Microrregião Itaguaí",0.445310251195256,"2020-05-14","ITAGUAÍ","ITAGUAÍ","33017"
"59138d8303205749cd04f53d","Microrregião Itaperuna",0.452905977668333,"2020-05-14","ITAPERUNA","ITAPERUNA","33001"
"591390cd03205749cd1478e3","Microrregião de Santa Maria da Vitória",0.384450570103434,"2020-05-14","SANTA MARIA DA VITÓRIA","SANTA MARIA DA VITÓRIA","29003"
"5913911c03205749cd16115a","Microrregião de Bragança Paulista",0.403390351590009,"2020-05-14","BRAGANÇA PAULISTA","BRAGANÇA PAULISTA","35048"
"5913913003205749cd1674a0","Microrregião de Porto Nacional",0.372169777931676,"2020-05-14","PORTO NACIONAL","PORTO NACIONAL","17006"
"5913911903205749cd1603cd","Microrregião de Pirassununga",0.408173700860345,"2020-05-14","PIRASSUNUNGA","PIRASSUNUNGA","35029"
"5913910c03205749cd15be17","Microrregião de Pitanga",0.391918846024347,"2020-05-14","PITANGA","PITANGA","41028"
"5913912a03205749cd16534e","Microrregião de Chapecó",0.394782259135921,"2020-05-14","CHAPECÓ","CHAPECÓ","42002"
"5913911c03205749cd161153","Microrregião de Joinville",0.398403197054235,"2020-05-14","JOINVILLE","JOINVILLE","42008"
"5913915403205749cd172a12","Microrregião de Lavras da Mangabeira",0.43711398668804,"2020-05-14","LAVRAS DA MANGABEIRA","LAVRAS DA MANGABEIRA","23028"
"5913911e03205749cd161b70","Microrregião de Santos",0.450203929721254,"2020-05-14","SANTOS","SANTOS","35063"
"5913911c03205749cd16168b","Microrregião de Franco da Rocha",0.435499193413596,"2020-05-14","FRANCO DA ROCHA","FRANCO DA ROCHA","35058"
"5913910803205749cd15aa66","Microrregião Jaguaraíva",0.403270603294933,"2020-05-14","JAGUARIAÍVA","JAGUARIAÍVA","41020"
"59138b8a03205749cdfcdb83","Microrregião de Santa Maria",0.393483814511445,"2020-05-14","SANTA MARIA","SANTA MARIA","43018"
"5913914303205749cd16cffe","Microrregião do Sertão do Moxotó",0.426499533228977,"2020-05-14","SERTÃO DO MOXOTÓ","SERTÃO DO MOXOTÓ","26004"
"5913914503205749cd16d9f2","Microrregião do Baixo Parnaíba Maranhense",0.520200100630911,"2020-05-14","BAIXO PARNAÍBA MARANHENSE","BAIXO PARNAÍBA MARANHENSE","21013"
"59138d8d03205749cd051b91","Microrregião Sete Lagoas",0.361080351570626,"2020-05-14","SETE LAGOAS","SETE LAGOAS","31027"
