pais,microreg,pop2019,microgeo
BRA,Araripina,333854,1
BRA,Aripuanã,230960,1
BRA,Baixo Pantanal,109842,1
BRA,Baixo Parnaíba Piauiense,306824,1
BRA,Barra de São Francisco,55047,1
BRA,Barreiras,342084,1
BRA,Bico do Papagaio,215893,1
BRA,Boa Vista,444920,1
BRA,Brasília,8739,1
BRA,Catolé do Rocha,123105,1
BRA,Cruzeiro do Sul,157132,1
BRA,Itaperuna,71436,1
BRA,Jales,171779,1
BRA,Litoral de Camocim e Acaraú,389324,1
BRA,Litoral Ocidental Maranhense,180302,1
BRA,Mossoró,379953,1
BRA,Óbidos,209139,1
BRA,Oiapoque,38387,1
BRA,Paranavaí,521360,1
BRA,Porto Velho,676286,1
BRA,Rio Negro,117676,1
BRA,Santa Rosa,170981,1
BRA,São Miguel do Araguaia,70537,1
BRA,São Miguel do Oeste,609448,1
BRA,Sergipana do Sertão do São Francisco,173135,1
BRA,Serrana do Sertão Alagoano,100012,1
BRA,Unaí,164252,1
BRA,Aglomeração Urbana de São Luís,1432529,2
BRA,Alagoana do Sertão do São Francisco,80481,2
BRA,Alta Floresta,143631,2
BRA,Amapá,31544,2
BRA,Aquidauana,137750,2
BRA,Araguaína,319685,2
BRA,Cajazeiras,173498,2
BRA,Carira,74788,2
BRA,Chapada do Apodi,75360,2
BRA,Chapecó,3552516,2
BRA,Cotegipe,118963,2
BRA,Fernandópolis,111202,2
BRA,Guajará-Mirim,84771,2
BRA,Ibiapaba,320838,2
BRA,Japurá,20979,2
BRA,Litoral Piauiense,117254,2
BRA,Nordeste de Roraima,52593,2
BRA,Nova Venécia,152424,2
BRA,Paracatu,236461,2
BRA,Rio Vermelho,77355,2
BRA,Salgueiro,172795,2
BRA,Santarém,528467,2
BRA,Santo Antônio de Pádua,152680,2
BRA,Tarauacá,85664,2
BRA,Três Passos,227119,2
BRA,Umuarama,264003,2
BRA,Almeirim,75244,3
BRA,Alto Solimões,251867,3
BRA,Alto Taquari,234794,3
BRA,Aragarças,97747,3
BRA,Ariquemes,206332,3
BRA,Campos dos Goytacazes,260026,3
BRA,Caracaraí,51729,3
BRA,Cianorte,116416,3
BRA,Colatina,112381,3
BRA,Colíder,125617,3
BRA,Coreaú,59772,3
BRA,Frederico Westphalen,158883,3
BRA,Januária,291500,3
BRA,Macapá,687827,3
BRA,Médio Oeste,41188,3
BRA,Miracema do Tocantins,149165,3
BRA,Nossa Senhora das Dores,67779,3
BRA,Pajeú,321600,3
BRA,Rosário,178491,3
BRA,Santa Maria da Vitória,182440,3
BRA,Santana do Ipanema,285305,3
BRA,Sena Madureira,61847,3
BRA,Sousa,189553,3
BRA,Teresina,966916,3
BRA,Votuporanga,302850,3
BRA,Xanxerê,297736,3
BRA,Agreste de Itabaiana,163746,4
BRA,Batalha,249348,4
BRA,Campo Grande,833165,4
BRA,Campo Maior,204266,4
BRA,Erechim,269271,4
BRA,Goioerê,122813,4
BRA,Janaúba,257882,4
BRA,Ji-Paraná,294493,4
BRA,Joaçaba,617348,4
BRA,Juazeiro,492105,4
BRA,Juruá,152530,4
BRA,Lençóis Maranhenses,197301,4
BRA,Macaé,74687,4
BRA,Mazagão,87973,4
BRA,Meruoca,26771,4
BRA,Montanha,69601,4
BRA,Parecis,113202,4
BRA,Patos,134611,4
BRA,Porangatu,242351,4
BRA,Portel,153746,4
BRA,Rio Branco,505863,4
BRA,Rio Formoso,127871,4
BRA,São José do Rio Preto,2063700,4
BRA,Sertão do Moxotó,233991,4
BRA,Sudeste de Roraima,56519,4
BRA,Vale do Açu,154407,4
BRA,Alvorada D'Oeste,69746,5
BRA,Arinos,96955,5
BRA,Baixada Maranhense,595087,5
BRA,Brasiléia,71429,5
BRA,Campo Mourão,130795,5
BRA,Cassilândia,258644,5
BRA,Catanduva,341598,5
BRA,Chapada dos Veadeiros,64144,5
BRA,Concórdia,409104,5
BRA,Furos de Breves,232284,5
BRA,Gurupi,150776,5
BRA,Médio Parnaíba Piauiense,130516,5
BRA,Palmeira dos Índios,316086,5
BRA,Paulo Afonso,181421,5
BRA,Petrolina,583269,5
BRA,Piancó,595141,5
BRA,Salinas,219575,5
BRA,Sananduva,117025,5
BRA,São Mateus,77784,5
BRA,Serra de São Miguel,66914,5
BRA,Sobral,414924,5
BRA,Tefé,89430,5
BRA,Tobias Barreto,116403,5
BRA,Três Rios,81479,5
BRA,Agreste de Lagarto,124213,6
BRA,Alto Teles Pires,283817,6
BRA,Arapiraca,2470770,6
BRA,Arari,178169,6
BRA,Astorga,400685,6
BRA,Auriflama,49822,6
BRA,Barra,182458,6
BRA,Cacoal,236722,6
BRA,Canoinhas,265362,6
BRA,Cantagalo-Cordeiro,56141,6
BRA,Ceres,280288,6
BRA,Cerro Largo,52309,6
BRA,Coari,181118,6
BRA,Ipu,140328,6
BRA,Itaparica,148561,6
BRA,Itapecuru Mirim,236106,6
BRA,Itaporanga,85863,6
BRA,Linhares,240406,6
BRA,Paranaíba,49109,6
BRA,Pau dos Ferros,117812,6
BRA,Pirapora,209564,6
BRA,Porto Nacional,404882,6
BRA,Valença do Piauí,106786,6
BRA,Afonso Cláudio,260570,7
BRA,Alto Parnaíba Piauiense,46738,7
BRA,Anápolis,272580,7
BRA,Belém,2363360,7
BRA,Bom Jesus da Lapa,180315,7
BRA,Gurupi,240134,7
BRA,Jalapão,80184,7
BRA,Manaus,2468200,7
BRA,Montes Claros,644783,7
BRA,Nhandeara,72503,7
BRA,Nova Friburgo,57158,7
BRA,Porecatu,121769,7
BRA,Propriá,494032,7
BRA,Santa Quitéria,74023,7
BRA,Santo Ângelo,195922,7
BRA,São Bento do Sul,145508,7
BRA,Serra do Teixeira,158089,7
BRA,Sinop,177030,7
BRA,Traipu,39799,7
BRA,Três Lagoas,153745,7
BRA,Umarizal,66892,7
BRA,Vale do Ipanema,198978,7
BRA,Vilhena,161798,7
BRA,Bertolínia,39396,8
BRA,Castanhal,343919,8
BRA,Colorado do Oeste,47077,8
BRA,Cotinguiba,52157,8
BRA,Dianópolis,124410,8
BRA,Floraí,78328,8
BRA,Grão Mogol,59866,8
BRA,Ijuí,133866,8
BRA,Iporá,129478,8
BRA,Itapipoca,228728,8
BRA,Joinville,250131,8
BRA,Macau,59555,8
BRA,Nova Andradina,200794,8
BRA,Novo Horizonte,87478,8
BRA,Paranatinga,88539,8
BRA,Pindaré,679587,8
BRA,Rio Preto da Eva,69626,8
BRA,Santa Maria Madalena,46122,8
BRA,Santa Teresa,214369,8
BRA,Senhor do Bonfim,302022,8
BRA,Seridó Ocidental Paraibano,41092,8
BRA,Serrana dos Quilombos,251429,8
BRA,Vale do Ipojuca,968644,8
BRA,Alto Capibaribe,319304,9
BRA,Angicos,52550,9
BRA,Anicuns,158332,9
BRA,Bacia de São João,213483,9
BRA,Baixo Curu,116242,9
BRA,Barretos,61277,9
BRA,Bocaiúva,54379,9
BRA,Bodoquena,554673,9
BRA,Carazinho,91741,9
BRA,Curitibanos,148679,9
BRA,Floriano,76193,9
BRA,Imperatriz,573080,9
BRA,Irecê,394894,9
BRA,Itacoatiara,180099,9
BRA,Japaratuba,59609,9
BRA,Maringá,572748,9
BRA,Mata Alagoana,426436,9
BRA,Norte Araguaia,195539,9
BRA,Salgado,271823,9
BRA,Seridó Oriental Paraibano,79134,9
BRA,Vitória,101680,9
BRA,Alto Médio Gurguéia,98890,10
BRA,Apucarana,107181,10
BRA,Baixo Cotinguiba,100189,10
BRA,Bragantina,424088,10
BRA,Campos de Lages,343149,10
BRA,Canarana,2311385,10
BRA,Cariri Ocidental,128265,10
BRA,Diamantina,84446,10
BRA,Dourados,500838,10
BRA,Goiânia,8701287,10
BRA,Guarapari,2378813,10
BRA,Jacobina,338225,10
BRA,Lagos,131617,10
BRA,Litoral Norte Alagoano,88842,10
BRA,Médio Capibaribe,260135,10
BRA,Médio Mearim,424583,10
