pais,id,pop2019
BRA,11001,676286
BRA,11002,84771
BRA,11003,206332
BRA,11004,294493
BRA,11005,69746
BRA,11006,236722
BRA,11007,161798
BRA,11008,47077
BRA,12001,157132
BRA,12002,85664
BRA,12003,61847
BRA,12004,505863
BRA,12005,71429
BRA,13001,117676
BRA,13002,20979
BRA,13003,251867
BRA,13004,152530
BRA,13005,89430
BRA,13006,181118
BRA,13007,2468200
BRA,13008,69626
BRA,13009,180099
BRA,13010,280875
BRA,13011,53734
BRA,13012,78854
BRA,13013,199609
BRA,14001,444920
BRA,14002,52593
BRA,14003,51729
BRA,14004,56519
BRA,15001,209139
BRA,15002,528467
BRA,15003,75244
BRA,15004,153746
BRA,15005,232284
BRA,15006,178169
BRA,15007,2363360
BRA,15008,343919
BRA,15009,271823
BRA,15010,424088
BRA,15011,498315
BRA,15012,340789
BRA,15013,483723
BRA,15014,221135
BRA,15015,309141
BRA,15016,384726
BRA,15017,349321
BRA,15018,217674
BRA,15019,324525
BRA,15020,333871
BRA,15021,196972
BRA,15022,162434
BRA,16001,38387
BRA,16002,31544
BRA,16003,687827
BRA,16004,87973
BRA,17001,215893
BRA,17002,319685
BRA,17003,149165
BRA,17004,127871
BRA,17005,150776
BRA,17006,404882
BRA,17007,80184
BRA,17008,124410
BRA,21001,180302
BRA,21002,1432529
BRA,21003,178491
BRA,21004,197301
BRA,21005,595087
BRA,21006,236106
BRA,21007,240134
BRA,21008,679587
BRA,21009,573080
BRA,21010,424583
BRA,21011,336315
BRA,21012,199535
BRA,21013,150303
BRA,21014,245228
BRA,21015,278462
BRA,21016,573220
BRA,21017,445103
BRA,21018,221411
BRA,21019,120372
BRA,21020,159377
BRA,21021,72320
BRA,22001,306824
BRA,22002,117254
BRA,22003,966916
BRA,22004,204266
BRA,22005,130516
BRA,22006,106786
BRA,22007,46738
BRA,22008,39396
BRA,22009,76193
BRA,22010,98890
BRA,22011,126383
BRA,22012,58405
BRA,22013,193504
BRA,22014,54128
BRA,22015,537002
BRA,23001,389324
BRA,23002,320838
BRA,23003,59772
BRA,23004,26771
BRA,23005,414924
BRA,23006,140328
BRA,23007,74023
BRA,23008,228728
BRA,23009,116242
BRA,23010,110621
BRA,23011,92156
BRA,23012,133417
BRA,23013,197767
BRA,23014,68392
BRA,23015,145883
BRA,23016,3668971
BRA,23017,139540
BRA,23018,249284
BRA,23019,288042
BRA,23020,152136
BRA,23021,224884
BRA,23022,118788
BRA,23023,332877
BRA,23024,64245
BRA,23025,44221
BRA,23026,233678
BRA,23027,100198
BRA,23028,57992
BRA,23029,100042
BRA,23030,58845
BRA,23031,95296
BRA,23032,577939
BRA,23033,105914
BRA,24001,379953
BRA,24002,75360
BRA,24003,41188
BRA,24004,154407
BRA,24005,66914
BRA,24006,117812
BRA,24007,66892
BRA,24008,59555
BRA,24009,52550
BRA,24010,63299
BRA,24011,105299
BRA,24012,124144
BRA,24013,67980
BRA,24014,143150
BRA,24015,251528
BRA,24016,91925
BRA,24017,328190
BRA,24018,1174174
BRA,24019,142533
BRA,25001,123105
BRA,25002,173498
BRA,25003,189553
BRA,25004,134611
BRA,25005,595141
BRA,25006,85863
BRA,25007,158089
BRA,25008,41092
BRA,25009,79134
BRA,25010,128265
BRA,25011,72458
BRA,25012,113030
BRA,25013,83781
BRA,25014,59997
BRA,25015,166093
BRA,25016,175020
BRA,25017,534144
BRA,25018,111566
BRA,25019,46182
BRA,25020,159189
BRA,25021,140071
BRA,25022,1057912
BRA,25023,75581
BRA,26001,333854
BRA,26002,172795
BRA,26003,321600
BRA,26004,233991
BRA,26005,583269
BRA,26006,148561
BRA,26007,198978
BRA,26008,968644
BRA,26009,319304
BRA,26010,260135
BRA,26011,470577
BRA,26012,230489
BRA,26013,549661
BRA,26014,231668
BRA,26015,975675
BRA,26016,190452
BRA,26017,3413540
BRA,26018,303252
BRA,26019,3061
BRA,27001,100012
BRA,27002,80481
BRA,27003,285305
BRA,27004,249348
BRA,27005,316086
BRA,27006,2470770
BRA,27007,39799
BRA,27008,251429
BRA,27009,426436
BRA,27010,88842
BRA,27011,302425
BRA,27012,230640
BRA,27013,176781
BRA,28001,173135
BRA,28002,74788
BRA,28003,67779
BRA,28004,163746
BRA,28005,116403
BRA,28006,124213
BRA,28007,494032
BRA,28008,52157
BRA,28009,59609
BRA,28010,100189
BRA,28011,299539
BRA,28012,166338
BRA,28013,135532
BRA,29001,342084
BRA,29002,118963
BRA,29003,182440
BRA,29004,492105
BRA,29005,181421
BRA,29006,182458
BRA,29007,180315
BRA,29008,302022
BRA,29009,394894
BRA,29010,338225
BRA,29011,254393
BRA,29012,1068539
BRA,29013,97224
BRA,29014,302581
BRA,29015,333876
BRA,29016,439299
BRA,29017,327094
BRA,29018,124858
BRA,29019,229682
BRA,29020,572784
BRA,29021,3798807
BRA,29022,193787
BRA,29023,260825
BRA,29024,514082
BRA,29025,101803
BRA,29026,394309
BRA,29027,227808
BRA,29028,643604
BRA,29029,198234
BRA,29030,285265
BRA,29031,988370
BRA,29032,800913
BRA,31001,164252
BRA,31002,236461
BRA,31003,291500
BRA,31004,257882
BRA,31005,219575
BRA,31006,209564
BRA,31007,644783
BRA,31008,59866
BRA,31009,54379
BRA,31010,84446
BRA,31011,211630
BRA,31012,166824
BRA,31013,86290
BRA,31014,286022
BRA,31015,279854
BRA,31016,242116
BRA,31017,191195
BRA,31018,901627
BRA,31019,229820
BRA,31020,271258
BRA,31021,530798
BRA,31022,417436
BRA,31023,218789
BRA,31024,219661
BRA,31025,166739
BRA,31026,144660
BRA,31027,1023260
BRA,31028,88201
BRA,31029,137571
BRA,31030,2370353
BRA,31031,554153
BRA,31032,168079
BRA,31033,190682
BRA,31034,312891
BRA,31035,185671
BRA,31036,109464
BRA,31037,459652
BRA,31038,73274
BRA,31039,616481
BRA,31040,197942
BRA,31041,246751
BRA,31042,99372
BRA,31043,583921
BRA,31044,181599
BRA,31045,102282
BRA,31046,185625
BRA,31047,450882
BRA,31048,647586
BRA,31049,196349
BRA,31050,2194915
BRA,31051,459258
BRA,31052,1091711
BRA,31053,190742
BRA,31054,556204
BRA,31055,327571
BRA,31056,239397
BRA,31057,187683
BRA,31058,200096
BRA,31059,416218
BRA,31060,618218
BRA,31061,341647
BRA,31062,362242
BRA,31063,306768
BRA,31064,306987
BRA,31065,958354
BRA,31066,191891
BRA,32001,55047
BRA,32002,152424
BRA,32003,112381
BRA,32004,69601
BRA,32005,77784
BRA,32006,240406
BRA,32007,260570
BRA,32008,214369
BRA,32009,101680
BRA,32010,2378813
BRA,32011,187414
BRA,32012,456469
BRA,32013,72979
BRA,33001,71436
BRA,33002,152680
