PAIS,UF,COD_UF,COD_MUNIC,CD_GEOCMU,MUNICIPIO,POP2019
BRA,RO,11,15,1100015,Alta Floresta D'Oeste,22945
BRA,RO,11,23,1100023,Ariquemes,107863
BRA,RO,11,31,1100031,Cabixi,5312
BRA,RO,11,49,1100049,Cacoal,85359
BRA,RO,11,56,1100056,Cerejeiras,16323
BRA,RO,11,64,1100064,Colorado do Oeste,15882
BRA,RO,11,72,1100072,Corumbiara,7391
BRA,RO,11,80,1100080,Costa Marques,18331
BRA,RO,11,98,1100098,Espigão D'Oeste,32374
BRA,RO,11,106,1100106,Guajará-Mirim,46174
BRA,RO,11,114,1100114,Jaru,51775
BRA,RO,11,122,1100122,Ji-Paraná,128969
BRA,RO,11,130,1100130,Machadinho D'Oeste,39991
BRA,RO,11,148,1100148,Nova Brasilândia D'Oeste,20474
BRA,RO,11,155,1100155,Ouro Preto do Oeste,36035
BRA,RO,11,189,1100189,Pimenta Bueno,36660
BRA,RO,11,205,1100205,Porto Velho,529544
BRA,RO,11,254,1100254,Presidente Médici,18986
BRA,RO,11,262,1100262,Rio Crespo,3764
BRA,RO,11,288,1100288,Rolim de Moura,55058
BRA,RO,11,296,1100296,Santa Luzia D'Oeste,6495
BRA,RO,11,304,1100304,Vilhena,99854
BRA,RO,11,320,1100320,São Miguel do Guaporé,23005
BRA,RO,11,338,1100338,Nova Mamoré,30583
BRA,RO,11,346,1100346,Alvorada D'Oeste,14411
BRA,RO,11,379,1100379,Alto Alegre dos Parecis,13241
BRA,RO,11,403,1100403,Alto Paraíso,21428
BRA,RO,11,452,1100452,Buritis,39654
BRA,RO,11,502,1100502,Novo Horizonte do Oeste,8538
BRA,RO,11,601,1100601,Cacaulândia,6230
BRA,RO,11,700,1100700,Campo Novo de Rondônia,14139
BRA,RO,11,809,1100809,Candeias do Jamari,26693
BRA,RO,11,908,1100908,Castanheiras,3052
BRA,RO,11,924,1100924,Chupinguaia,11182
BRA,RO,11,940,1100940,Cujubim,25215
BRA,RO,11,1005,1101005,Governador Jorge Teixeira,7767
BRA,RO,11,1104,1101104,Itapuã do Oeste,10458
BRA,RO,11,1203,1101203,Ministro Andreazza,9660
BRA,RO,11,1302,1101302,Mirante da Serra,10947
BRA,RO,11,1401,1101401,Monte Negro,15852
BRA,RO,11,1435,1101435,Nova União,6970
BRA,RO,11,1450,1101450,Parecis,6074
BRA,RO,11,1468,1101468,Pimenteiras do Oeste,2169
BRA,RO,11,1476,1101476,Primavera de Rondônia,2856
BRA,RO,11,1484,1101484,São Felipe D'Oeste,5172
BRA,RO,11,1492,1101492,São Francisco do Guaporé,20266
BRA,RO,11,1500,1101500,Seringueiras,11856
BRA,RO,11,1559,1101559,Teixeirópolis,4308
BRA,RO,11,1609,1101609,Theobroma,10444
BRA,RO,11,1708,1101708,Urupá,11467
BRA,RO,11,1757,1101757,Vale do Anari,11204
BRA,RO,11,1807,1101807,Vale do Paraíso,6825
BRA,AC,12,13,1200013,Acrelândia,15256
BRA,AC,12,54,1200054,Assis Brasil,7417
BRA,AC,12,104,1200104,Brasiléia,26278
BRA,AC,12,138,1200138,Bujari,10266
BRA,AC,12,179,1200179,Capixaba,11733
BRA,AC,12,203,1200203,Cruzeiro do Sul,88376
BRA,AC,12,252,1200252,Epitaciolândia,18411
BRA,AC,12,302,1200302,Feijó,34780
BRA,AC,12,328,1200328,Jordão,8317
BRA,AC,12,336,1200336,Mâncio Lima,18977
BRA,AC,12,344,1200344,Manoel Urbano,9459
BRA,AC,12,351,1200351,Marechal Thaumaturgo,18867
BRA,AC,12,385,1200385,Plácido de Castro,19761
BRA,AC,12,393,1200393,Porto Walter,11982
BRA,AC,12,401,1200401,Rio Branco,407319
BRA,AC,12,427,1200427,Rodrigues Alves,18930
BRA,AC,12,435,1200435,Santa Rosa do Purus,6540
BRA,AC,12,450,1200450,Senador Guiomard,23024
BRA,AC,12,500,1200500,Sena Madureira,45848
BRA,AC,12,609,1200609,Tarauacá,42567
BRA,AC,12,708,1200708,Xapuri,19323
BRA,AC,12,807,1200807,Porto Acre,18504
BRA,AM,13,29,1300029,Alvarães,16041
BRA,AM,13,60,1300060,Amaturá,11536
BRA,AM,13,86,1300086,Anamã,13614
BRA,AM,13,102,1300102,Anori,21010
BRA,AM,13,144,1300144,Apuí,21973
BRA,AM,13,201,1300201,Atalaia do Norte,19921
BRA,AM,13,300,1300300,Autazes,39565
BRA,AM,13,409,1300409,BARCELOS,27502
BRA,AM,13,508,1300508,Barreirinha,32041
BRA,AM,13,607,1300607,Benjamin Constant,42984
BRA,AM,13,631,1300631,Beruri,19679
BRA,AM,13,680,1300680,Boa Vista do Ramos,19207
BRA,AM,13,706,1300706,Boca do Acre,34308
BRA,AM,13,805,1300805,Borba,41161
BRA,AM,13,839,1300839,Caapiranga,13081
BRA,AM,13,904,1300904,Canutama,15629
BRA,AM,13,1001,1301001,Carauari,28294
BRA,AM,13,1100,1301100,Careiro,37869
BRA,AM,13,1159,1301159,Careiro da Várzea,30225
BRA,AM,13,1209,1301209,Coari,85097
BRA,AM,13,1308,1301308,Codajás,28637
BRA,AM,13,1407,1301407,Eirunepé,35273
BRA,AM,13,1506,1301506,Envira,20033
BRA,AM,13,1605,1301605,Fonte Boa,17609
BRA,AM,13,1654,1301654,Guajará,16678
BRA,AM,13,1704,1301704,Humaitá,55080
BRA,AM,13,1803,1301803,Ipixuna,29689
BRA,AM,13,1852,1301852,Iranduba,48296
BRA,AM,13,1902,1301902,Itacoatiara,101337
BRA,AM,13,1951,1301951,Itamarati,7851
BRA,AM,13,2009,1302009,Itapiranga,9148
BRA,AM,13,2108,1302108,Japurá,2755
BRA,AM,13,2207,1302207,Juruá,14712
BRA,AM,13,2306,1302306,Jutaí,14317
BRA,AM,13,2405,1302405,Lábrea,46069
BRA,AM,13,2504,1302504,Manacapuru,97377
BRA,AM,13,2553,1302553,Manaquiri,32105
BRA,AM,13,2603,1302603,Manaus,2182763
BRA,AM,13,2702,1302702,Manicoré,55751
BRA,AM,13,2801,1302801,Maraã,18224
BRA,AM,13,2900,1302900,Maués,63905
BRA,AM,13,3007,1303007,Nhamundá,21173
BRA,AM,13,3106,1303106,Nova Olinda do Norte,37378
BRA,AM,13,3205,1303205,Novo Airão,19454
BRA,AM,13,3304,1303304,Novo Aripuanã,25644
BRA,AM,13,3403,1303403,Parintins,114273
BRA,AM,13,3502,1303502,Pauini,19426
BRA,AM,13,3536,1303536,Presidente Figueiredo,36279
