municipio;populacao_estimada
Angra dos Reis;203785
Aperibé;11759
Araruama;132400
Areal;12572
Armação dos Búzios;33870
Arraial do Cabo;30349
Barra do Piraí;100374
Barra Mansa;184412
Belford Roxo;510906
Bom Jardim;27446
Bom Jesus do Itabapoana;37096
Cabo Frio;226525
Cachoeiras de Macacu;58937
Cambuci;15505
Carapebus;16301
Comendador Levy Gasparian;8561
Campos dos Goytacazes;507548
Cantagalo;20172
Cardoso Moreira;12823
Carmo;18895
Casimiro de Abreu;44184
Conceição de Macabu;23228
Cordeiro;21926
Duas Barras;11492
Duque de Caxias;919596
Engenheiro Paulo de Frontin;14002
Guapimirim;60517
Iguaba Grande;28310
Itaboraí;240592
Itaguaí;133019
Italva;15207
Itaocara;23234
Itaperuna;103224
Itatiaia;31805
Japeri;104768
Laje do Muriaé;7355
Macaé;256672
Macuco;5599
Magé;245071
Mangaratiba;44468
Maricá;161207
Mendes;18614
Mesquita;176103
Miguel Pereira;25538
Miracema;27174
Natividade;15317
Nilópolis;162485
Niterói;513584
Nova Friburgo;190631
Nova Iguaçu;821128
Paracambi;52257
Paraíba do Sul;44285
Paraty;43165
Paty do Alferes;27769
Petrópolis;306191
Pinheiral;25156
Piraí;29277
Porciúncula;18847
Porto Real;19683
Quatis;14302
Queimados;150319
Quissamã;24700
Resende;131341
Rio Bonito;60201
Rio Claro;18529
Rio das Flores;9284
Rio das Ostras;150674
Rio de Janeiro;6718903
Santa Maria Madalena;10404
Santo Antônio de Pádua;42479
São Francisco de Itabapoana;42205
São Fidélis;38669
São Gonçalo;1084839
São João da Barra;36102
São João de Meriti;472406
São José de Ubá;7171
São José do Vale do Rio Preto;21795
São Pedro da Aldeia;104476
São Sebastião do Alto;9357
Sapucaia;18228
Saquarema;89170
Seropédica;82312
Silva Jardim;21774
Sumidouro;15623
Tanguá;34309
Teresópolis;182594
Trajano de Moraes;10626
Três Rios;81804
Valença;76523
Varre-Sai;11000
Vassouras;36896
Volta Redonda;273012
MINAS GERAIS;20870000
ESPIRITO SANTO;3885000
SÃO PAULO;44040000
