municipio;populacao_estimada
Adamantina;35068
Adolfo;3562
Aguaí;36305
Águas da Prata;8180
Águas de Lindóia;18705
Águas de Santa Bárbara;6075
Águas de São Pedro;3451
Agudos;37214
Alambari;6025
Alfredo Marcondes;4166
Altair;4160
Altinópolis;16184
Alto Alegre;4099
Alumínio;18628
Álvares Florence;3679
Álvares Machado;24915
Álvaro de Carvalho;5227
Alvinlândia;3222
Americana;239597
Américo Brasiliense;40504
Américo de Campos;5969
Amparo;72195
Analândia;4995
Andradina;57157
Angatuba;25228
Anhembi;6724
Anhumas;4115
Aparecida;36157
Aparecida d'Oeste;4196
Apiaí;24374
Araçariguama;22364
Araçatuba;197016
Araçoiaba da Serra;34146
Aramina;5620
Arandu;6357
Arapeí;2469
Araraquara;236072
Araras;134236
Arco-Íris;1791
Arealva;8560
Areias;3886
Areiópolis;11129
Ariranha;9668
Artur Nogueira;54408
Arujá;89824
Aspásia;1822
Assis;104386
Atibaia;142761
Auriflama;15189
Avaí;5403
Avanhandava;13649
Avaré;90655
Bady Bassitt;17502
Balbinos;5735
Bálsamo;9068
Bananal;10945
Barão de Antonina;3469
Barbosa;7402
Bariri;35264
Barra Bonita;36126
Barra do Chapéu;5724
Barra do Turvo;7659
Barretos;122098
Barrinha;32812
Barueri;274182
Bastos;20953
Batatais;62508
Bauru;376818
Bebedouro;77496
Bento de Abreu;2980
Bernardino de Campos;11148
Bertioga;63249
Bilac;8034
Birigui;123638
Biritiba-Mirim;32598
Boa Esperança do Sul;14923
Bocaina;12329
Bofete;11730
Boituva;60997
Bom Jesus dos Perdões;25448
Bom Sucesso de Itararé;3954
Borá;837
Boracéia;4823
Borborema;16046
Borebi;2653
Botucatu;146497
Bragança Paulista;168668
Braúna;5686
Brejo Alegre;2865
Brodowski;24939
Brotas;24403
Buri;19878
Buritama;17144
Buritizal;4481
Cabrália Paulista;4264
Cabreúva;49707
Caçapava;94263
Cachoeira Paulista;33327
Caconde;18985
Cafelândia;17767
Caiabu;4191
Caieiras;101470
Caiuá;5874
Cajamar;76801
Cajati;28549
Cajobi;10542
Cajuru;26167
Campina do Monte Alegre;6024
Campinas;1204073
Campo Limpo Paulista;84650
Campos do Jordão;52088
Campos Novos Paulista;4965
Cananéia;12540
Canas;5138
Cândido Mota;31280
Cândido Rodrigues;2793
