,id,br,uf,codigo,local_de_i,local_de_f,km_inicial,km_final,extensao,superficie,federal_co,federal__1,federal__2,estadual_c,superfic_1,mpv_082_20,concessao_,cities,cities_id
0,773,10,PA,010BPA0790,ENTR PA-136/320 (CASTANHAL),ACESSO AMERICANO I,393.4,407.0,13.0,DUP,308BPA0100,316BPA0100,,,,,,"['Castanhal', 'Santa Izabel do Pará']","[1502400, 1506500]"
1,775,458,MG,458BMG0020,CONSELHEIRO PENA,CUITÉ VELHO,4.0,35.0,31.0,PLA,,,,MGT-458,PAV,,,"['Conselheiro Pena', 'Itanhomi', 'Tumiritinga']","[3118403, 3133204, 3169505]"
2,349,450,DF,450BDF0230,ENTR DF-055,ENTR DF-065 (EPIP),24.8,33.5,8.7,PLA,,,,DF-003,DUP,,,['Brasília'],[5300108]
3,354,427,RN,427BRN0120,ENTR RN-118(A),ENTR RN-118(B),96.4,112.2,15.0,PAV,,,,,,,,"['Caicó', 'São Fernando']","[2402006, 2411809]"
4,1257,259,MG,259BMG0220,DIVINOLÂNDIA DE MINAS,VIRGINÓPOLIS,278.3,291.6,13.0,PLA,,,,MGT-259,PAV,,,"['Divinolândia de Minas', 'Virginópolis']","[3122207, 3171808]"
5,1259,324,BA,324BBA0470,ENTR BA-522,ENTR BA-093,593.4,603.7,10.0,DUP,,,,,,,Concessão Federal,"['Candeias', 'Simões Filho']","[2906501, 2930709]"
6,1262,364,MT,364BMT1005,RIO 12 DE OUTUBRO,ENTR BR-174(B) (DIV MT/RO),1344.1,1361.5,17.0,PAV,174BMT0134,,,,,,,"['Vilhena', 'Comodoro']","[1100304, 5103304]"
7,486,364,MT,364BMT0605,ENTR MT-100(B)/299 (P/ARAGUAINHA),ENTR MT-462,15.7,41.7,26.0,PAV,,,,,,,,"['Alto Araguaia', 'Alto Garças']","[5100300, 5100409]"
8,1265,163,MT,163BMT0655,ENTR BR-070(A)/MT-140(B) (SÃO VICENTE),ENTR MT-455,246.7,259.2,12.0,PAV,070BMT0410,364BMT0740,,,,,Concessão Federal,['Campo Verde'],[5102678]
9,749,262,MS,262BMS1420,ENTR MS-184 (BURACO DAS PIRANHAS),INÍCIO PONTE SOBRE O RIO PARAGUAI,657.1,704.0,46.0,PAV,,,,,,,,['Corumbá'],[5003207]
10,753,222,PA,222BPA0710,DIV MA/PA (RIO ITINGA),ENTR BR-010(B)/PA-332(A) (DOM ELISEU),0.0,18.0,18.0,PAV,010BPA0490,,,,,,,['Dom Eliseu'],[1502939]
11,755,381,ES,381BES0050,ENTR ES-137(A) (NOVA VENÉCIA),ENTR ES-137(B),59.9,67.9,8.0,PLA,,,,ES-137,PAV,,,['Nova Venécia'],[3203908]
12,930,364,AC,364BAC1620,ESTRADA DO AEROPORTO,RIOZINHO DO ANDIRÁ,150.1,179.4,29.0,PAV,,,,,,,,"['Bujari', 'Rio Branco']","[1200138, 1200401]"
13,1453,432,RR,432BRR0040,VILA FELIX PINTO,VILA SANTA RITA,119.2,140.8,21.0,EOP,,,,,,,,['Cantá'],[1400175]
14,1456,417,PA,417BPA0050,ENTR PA-159(B) (ANAJÁS),ENTR PA-157,103.0,150.0,47.0,PLA,,,,,,,,"['Anajás', 'Muaná']","[1500701, 1504901]"
15,1458,50,SP,050BSP0350,ENTR SP-351,ACESSO SALES OLIVEIRA,88.7,94.5,5.8,PLA,,,,SP-330,DUP,,,"['Orlândia', 'Sales Oliveira']","[3534302, 3544905]"
16,1461,116,SP,116BSP2255,ENTR SP-058(B),ACESSO LAVRINHAS,13.6,21.5,7.9,DUP,,,,,,,Concessão Federal,"['Lavrinhas', 'Queluz']","[3526605, 3541901]"
17,1462,174,RR,174BRR0990,IGARAPÉ JACITARA,IGARAPÉ SAÚBA,544.0,553.7,9.7,PAV,,,,,,,,['Boa Vista'],[1400100]
18,1268,374,SP,374BSP0280,ENTR SP-209,ENTR SP-147,377.3,404.6,27.0,PLA,,,,SP-280,DUP,,,"['Bofete', 'Itatinga', 'Pardinho']","[3506904, 3523503, 3536109]"
19,1269,70,MT,070BMT0321,ENTR MT-110(A),PAREDÃO GRANDE,127.2,156.0,28.0,PAV,,,,,,,,"['General Carneiro', 'Tesouro']","[5103908, 5108105]"
20,1272,163,MS,163BMS0252,ENTR MS-378(B),ENTR MS-156/280/378 (CAARAPÓ),181.8,208.7,26.0,PAV,,,,,,,Concessão Federal,"['Caarapó', 'Juti']","[5002407, 5005152]"
21,1273,494,MG,494BMG0170,ANDRELÂNDIA,ENTR BR-267 (ARANTINA),292.4,324.9,32.0,PLA,,,,MGT-494,PAV,,,"['Andrelândia', 'Arantina', 'Bom Jardim de Minas']","[3102803, 3103603, 3107505]"
22,1274,451,MG,451BMG0050,ENTR MG-117/214 (ITAMARANDIBA),ENTR BR-120(A) (SANTA MARIA DO SUAÇUÍ),192.7,265.7,73.0,PLA,,,,,,,,"['Itamarandiba', 'Santa Maria do Suaçuí', 'São Sebastião do Maranhão']","[3132503, 3158201, 3164506]"
23,1275,369,PR,369BPR0810,UBIRATÃ,ENTR PR-239(B),430.3,456.1,25.0,PAV,,,,,,,Concessão Estadual,"['Corbélia', 'Ubiratã']","[4106308, 4128005]"
24,1276,101,RJ,101BRJ3335,ENTR RJ-079,TREVO DE ACESSO À ITACURUÇÁ,406.1,416.5,10.0,DUP,,,,,,,,"['Itaguaí', 'Mangaratiba']","[3302007, 3302601]"
25,1277,116,BA,116BBA0610,ENTR BR-349 (P/TEOFILÂNDIA),ENTR BA-233 (SERRINHA),338.8,357.0,18.0,PAV,,,,,,,,"['Serrinha', 'Teofilândia']","[2930501, 2931509]"
26,1288,265,SP,265BSP0545,ENTR SP-328,ENTR BR-050 (PORANGABA),77.0,83.0,6.0,PLA,,,,,,,,['Jardinópolis'],[3525102]
27,1291,381,MG,381BMG0710,ENTR BR-491/MG-167(B),ENTR BR-267 (P/PALMELA),759.1,776.7,17.0,DUP,,,,,,,Concessão Federal,"['Campanha', 'Três Corações']","[3110905, 3169307]"
28,1270,70,MT,070BMT0592,ENTR BR-174(B),ENTR MT-175,739.1,769.9,30.0,PAV,,,,,,,,['Cáceres'],[5102504]
29,144,430,BA,430BBA0020,ENTR BA-447,ENTR BA-464 (P/BAIANÓPOLIS),6.2,43.8,37.0,PAV,242BBA0300,,,,,,,"['Angical', 'Barreiras']","[2901403, 2903201]"
30,2071,230,PB,230BPB0325,ENTR BR-110(A)/361 (PATOS),ENTR PB-275 (P/SÃO JOSE DE ESPINHARAS),331.9,332.9,1.0,PAV,110BPB0220,,,,,,,['Patos'],[2510808]
31,2082,479,DF,479BDF0106,ENTR VICINAL-151,ENTR DF-110,13.8,19.0,5.2,PLA,,,,DF-250,PAV,,,['Brasília'],[5300108]
32,2110,30,BA,030BBA0250,ENTR BA-160(B) (P/IUIÚ),ENTR BA-263 (PALMAS DE MONTE ALTO),143.3,185.3,42.0,PAV,,,,,,MP082/2003,,"['Iuiu', 'Palmas de Monte Alto']","[2917334, 2923407]"
33,2111,262,MS,262BMS1290,ENTR BR-158(B)/MS-395 (P/BRASILÂNDIA),ENTR MS-453/459 (P/ARAPUÁ),11.8,47.8,36.0,PAV,,,,,,,,['Três Lagoas'],[5008305]
34,1872,324,PI,324BPI0095,MANOEL EMÍDIO,ENTR PI-394 (COLÔNIA DO PADRE),247.8,266.8,19.0,PAV,135BPI0415,,,,,,,"['Colônia do Gurguéia', 'Manoel Emídio']","[2202752, 2205904]"
35,1873,110,RN,110BRN0050,ENTR RN-405,UPANEMA,88.5,99.7,11.0,PAV,,,,,,,,['Upanema'],[2414605]
