"","State","City","0.001","0.005","0.1","0.2","0.4","0.5","0.6","0.8","1.0","1.2","1.4","1.6","1.8","2.0","2.5","3.0","Grupo_menor","Grupo_maior","Grupo"
"1","RJ","ANGRA DOS REIS",12,10,10,11,10,11,10,10,12,10,12,10,12,12,11,12,"High Risk","Medium Risk","Medium Risk"
"2","RJ","APERIBÉ",26,24,24,26,25,25,24,25,26,25,26,25,27,26,26,27,"Low Risk","Low Risk","Low Risk"
"3","RJ","ARARUAMA",13,11,11,12,11,12,11,11,13,11,13,11,13,13,12,13,"High Risk","Medium Risk","Medium Risk"
"4","RJ","AREAL",20,18,18,19,18,19,18,18,20,18,20,19,20,20,19,21,"Medium Risk","Medium Risk","Medium Risk"
"5","RJ","ARMAÇÃO DOS BÚZIOS",14,13,13,14,13,13,13,13,15,13,15,13,15,15,14,16,"High Risk","Medium Risk","Medium Risk"
"6","RJ","ARRAIAL DO CABO",14,13,13,14,13,14,13,13,15,13,15,14,15,15,14,16,"High Risk","Medium Risk","Medium Risk"
"7","RJ","BARRA DO PIRAÍ",15,14,14,15,14,15,14,14,15,14,15,14,16,15,15,16,"Medium Risk","Medium Risk","Medium Risk"
"8","RJ","BARRA MANSA",13,12,12,13,12,12,12,12,13,12,13,12,13,13,12,14,"High Risk","Medium Risk","Medium Risk"
"9","RJ","BELFORD ROXO",5,4,4,4,5,4,5,5,4,5,4,4,5,4,4,5,"High Risk","High Risk","High Risk"
"10","RJ","BOM JARDIM",22,21,21,22,21,21,21,21,22,21,22,21,23,22,22,23,"Medium Risk","Low Risk","Low Risk"
"11","RJ","BOM JESUS DO ITABAPOANA",24,23,23,24,23,23,23,23,24,23,24,23,25,24,24,25,"Low Risk","Low Risk","Low Risk"
"12","RJ","CABO FRIO",11,10,10,11,10,10,10,10,11,10,11,10,12,11,11,12,"High Risk","Medium Risk","Medium Risk"
"13","RJ","CACHOEIRAS DE MACACU",15,13,13,14,13,14,13,13,15,13,15,13,15,15,14,15,"High Risk","Medium Risk","Medium Risk"
"14","RJ","CAMBUCI",28,26,26,27,26,27,26,26,27,26,27,26,28,27,27,28,"Low Risk","Low Risk","Low Risk"
"15","RJ","CAMPOS DOS GOYTACAZES",13,12,12,13,12,12,12,12,13,12,13,12,14,13,13,14,"High Risk","Medium Risk","Medium Risk"
"16","RJ","CANTAGALO",24,23,23,24,23,23,22,23,24,22,24,23,24,24,23,25,"Low Risk","Low Risk","Low Risk"
"17","RJ","CARAPEBUS",24,22,22,23,22,23,22,22,24,22,23,22,24,23,23,24,"Low Risk","Low Risk","Low Risk"
"18","RJ","CARDOSO MOREIRA",27,25,25,26,25,25,25,25,26,25,26,25,27,26,26,27,"Low Risk","Low Risk","Low Risk"
