"","State","City","0.001","0.005","0.1","0.2","0.4","0.5","0.6","0.8","1.0","1.2","1.4","1.6","1.8","2.0","2.5","3.0","Grupo_menor","Grupo_maior","Grupo"
"1","SP","ADAMANTINA",30,30,30,29,28,30,28,29,28,29,28,27,28,29,28,28,"Medium Risk","Medium Risk","Medium Risk"
"2","SP","ADOLFO",35,35,35,34,33,35,33,34,33,34,33,32,33,34,33,32,"Low Risk","Low Risk","Low Risk"
"3","SP","AGUAÍ",26,26,26,25,24,26,24,25,24,25,24,23,24,24,24,23,"Medium Risk","Medium Risk","Medium Risk"
"4","SP","ÁGUAS DA PRATA",29,29,29,28,27,29,27,29,27,29,27,27,28,28,28,27,"Medium Risk","Medium Risk","Medium Risk"
"5","SP","ÁGUAS DE LINDÓIA",23,23,23,22,21,23,21,23,21,23,22,21,22,23,22,22,"Medium Risk","Medium Risk","Medium Risk"
"6","SP","ÁGUAS DE SANTA BÁRBARA",25,26,26,25,24,26,24,26,24,26,24,24,25,26,25,25,"Medium Risk","Medium Risk","Medium Risk"
"7","SP","ÁGUAS DE SÃO PEDRO",27,28,28,27,26,28,26,28,26,28,26,26,27,28,27,27,"Medium Risk","Medium Risk","Medium Risk"
"8","SP","AGUDOS",26,26,26,25,24,26,24,25,23,25,23,23,24,24,24,23,"Medium Risk","Medium Risk","Medium Risk"
"9","SP","ALAMBARI",26,27,27,26,25,27,25,26,25,26,25,24,25,26,25,25,"Medium Risk","Medium Risk","Medium Risk"
"10","SP","ALFREDO MARCONDES",36,37,37,36,35,36,34,35,34,35,33,33,33,34,33,33,"Low Risk","Low Risk","Low Risk"
"11","SP","ALTAIR",36,38,37,36,35,36,34,35,33,35,33,32,33,34,33,32,"Low Risk","Low Risk","Low Risk"
"12","SP","ALTINÓPOLIS",34,34,34,33,32,33,31,32,30,31,30,29,30,30,30,29,"Low Risk","Low Risk","Low Risk"
"13","SP","ALTO ALEGRE",36,39,39,38,36,37,36,37,35,36,35,34,35,35,35,34,"Low Risk","Low Risk","Low Risk"
"14","SP","ALUMÍNIO",23,23,23,22,21,22,20,22,20,21,20,19,20,20,20,19,"Medium Risk","Medium Risk","Medium Risk"
"15","SP","ÁLVARES FLORENCE",36,41,42,40,38,39,37,37,35,37,35,34,35,35,34,34,"Low Risk","Low Risk","Low Risk"
"16","SP","ÁLVARES MACHADO",30,30,30,29,28,29,27,28,27,28,27,26,27,27,27,26,"Medium Risk","Medium Risk","Medium Risk"
"17","SP","ÁLVARO DE CARVALHO",36,36,36,35,34,35,34,35,33,34,33,32,33,34,33,32,"Low Risk","Low Risk","Low Risk"
"18","SP","ALVINLÂNDIA",36,41,42,41,38,39,37,38,36,37,35,34,35,35,34,33,"Low Risk","Low Risk","Low Risk"
"19","SP","AMERICANA",17,17,17,17,16,17,15,16,15,16,15,14,15,16,15,15,"High Risk","High Risk","High Risk"
"20","SP","AMÉRICO BRASILIENSE",30,30,30,29,27,28,27,28,26,27,25,25,25,26,25,24,"Medium Risk","Medium Risk","Medium Risk"
"21","SP","AMÉRICO DE CAMPOS",36,37,37,36,35,36,34,35,34,35,33,33,33,34,33,33,"Low Risk","Low Risk","Low Risk"
"22","SP","AMPARO",21,22,22,21,20,21,20,21,19,21,19,19,20,20,20,19,"Medium Risk","Medium Risk","Medium Risk"
"23","SP","ANALÂNDIA",29,30,30,29,28,29,28,29,27,29,27,27,27,28,27,27,"Medium Risk","Medium Risk","Medium Risk"
