"Municipio","DRS","Minimo","Mediana","Máximo"
"SANTÓPOLIS DO AGUAPEÍ","Araçatuba",2.03766211157148,2.20756124688618,2.47414601666046
"CAMPO LIMPO PAULISTA","Campinas",1.91712274739297,2.08917513179833,2.28975953511543
"DIVINOLÂNDIA","São João da Boa Vista",1.79185322610231,1.96896753438884,2.24583471168745
"TAPIRAÍ","Sorocaba",1.72993857609686,1.8884113477105,2.16121032020343
"SÃO JOSÉ DO RIO PARDO","São João da Boa Vista",1.57377122441381,1.72016624286617,1.95641097862929
"BARRINHA","Ribeirão Preto",1.58598045239107,1.70040477947473,1.88297176282395
"BOCAINA","Bauru",1.5712173048804,1.70013638760439,1.90799074508517
"IRAPURU","Presidente Prudente",1.52015857974021,1.65325990745767,1.82972331752346
"MAIRIPORÃ","Grande São Paulo",1.49137579974236,1.63429366646611,1.7969152093184
"TUPI PAULISTA","Presidente Prudente",1.50187673184823,1.6144706811424,1.8044821213368
"IBIRAREMA","Marília",1.4878657121676,1.61195854604183,1.8080367960958
"RUBINÉIA","São José do Rio Preto",1.45076870798406,1.5952699089275,1.81274876656861
"RINÓPOLIS","Marília",1.45020803923119,1.55562060889158,1.7329175729495
"BALBINOS","Bauru",1.44532980494884,1.55308236847481,1.71464083342954
"SANTA CRUZ DA CONCEIÇÃO","Piracicaba",1.42007971330426,1.54867948793497,1.75413488965531
"POLONI","São José do Rio Preto",1.37550373818878,1.50071567894765,1.73092292292745
"SANTO ANTÔNIO DO ARACANGUÁ","Araçatuba",1.38261765973459,1.4837867819232,1.63658258426079
"JACUPIRANGA","Registro",1.3509364683715,1.46368628764747,1.64460939911005
"SERRA NEGRA","Campinas",1.34434842728818,1.46283013774613,1.62777476889628
"JUMIRIM","Sorocaba",1.33309792188414,1.45563708881698,1.63782622387575
"UNIÃO PAULISTA","São José do Rio Preto",1.32871286920251,1.44868507088959,1.6023170067614
"PARAIBUNA","Taubaté",1.3399334974569,1.4479679800424,1.6423882576901
"BANANAL","Taubaté",1.3387661735025,1.43979566469567,1.59327347063239
"PEDERNEIRAS","Bauru",1.33724091195024,1.43786931763826,1.58893737757739
"ANDRADINA","Araçatuba",1.33636107150101,1.43244765802147,1.58054023300462
"PIRAPOZINHO","Presidente Prudente",1.28281449192276,1.40038789899164,1.54328212154271
"MATÃO","Araraquara",1.30804274473577,1.39935344529987,1.5430932756687
"ENGENHEIRO COELHO","Piracicaba",1.27218463306161,1.39196994606878,1.54713179994481
"MONTE CASTELO","Presidente Prudente",1.29611638020414,1.38899653332025,1.54408426555265
"SÃO SEBASTIÃO","Taubaté",1.26488933538825,1.38245367075815,1.51148891672486
"VARGEM","Campinas",1.21470062418911,1.38173413297495,1.56135359815403
"JAÚ","Bauru",1.29216150136565,1.38152671720484,1.52491847942242
"JAGUARIÚNA","Campinas",1.28498013640553,1.37955527991236,1.52900309960101
"NARANDIBA","Presidente Prudente",1.28427417792008,1.37524275950035,1.52725877170607
"BORACÉIA","Bauru",1.27785369917438,1.36916912497379,1.51520243744203
