DRS,Date,Infimo,Mediana,Sup,Regiao
I,2020-09-16,442543.714285714,442543.714285714,442543.714285714,Grande São Paulo
I,2020-09-17,444002.585034014,444586.133333333,445328.831168831,Grande São Paulo
I,2020-09-18,445418.858857287,446563.664715501,448032.090792601,Grande São Paulo
I,2020-09-19,446795.108342904,448480.908623836,450659.07615043,Grande São Paulo
I,2020-09-20,448133.018167258,450341.067429814,453213.601538865,Grande São Paulo
I,2020-09-21,449433.842884717,452146.606908217,455698.520212676,Grande São Paulo
I,2020-09-22,403164.519915652,453899.291267515,474973.307645094,Grande São Paulo
I,2020-09-23,404263.658233848,455600.27959757,477410.414815142,Grande São Paulo
I,2020-09-24,405331.549258727,457251.267900658,479780.32245318,Grande São Paulo
I,2020-09-25,406368.929053786,458853.804927593,482084.713424197,Grande São Paulo
I,2020-09-26,407362.660277083,460409.409362216,484325.252426014,Grande São Paulo
I,2020-09-27,408290.050584833,461919.454066701,486503.425791308,Grande São Paulo
I,2020-09-28,409184.097030946,463385.272449613,488620.687264902,Grande São Paulo
I,2020-09-29,410046.092459658,464772.756084717,490678.160086218,Grande São Paulo
I,2020-09-30,410877.23983131,466099.314427833,492676.552263386,Grande São Paulo
I,2020-10-01,411678.749024499,467381.082993436,494617.31397837,Grande São Paulo
I,2020-10-02,412451.776597285,468619.701127564,496501.838615026,Grande São Paulo
I,2020-10-03,413197.436232031,469816.765706981,498331.554479934,Grande São Paulo
I,2020-10-04,413916.789509798,470973.778425841,500107.773513135,Grande São Paulo
I,2020-10-05,414610.856295014,472092.188242228,501831.792902949,Grande São Paulo
I,2020-10-06,415280.597842014,473173.303570252,503504.650282215,Grande São Paulo
I,2020-10-07,415926.913981066,474218.273368511,505127.05774169,Grande São Paulo
I,2020-10-08,416550.713467917,475228.4220886,506700.308752112,Grande São Paulo
I,2020-10-09,417152.866464233,476205.0115692,508225.649519171,Grande São Paulo
I,2020-10-10,417734.211573968,477149.271553115,509704.352622659,Grande São Paulo
I,2020-10-11,418295.547990961,478062.357223394,511137.597378198,Grande São Paulo
I,2020-10-12,418837.643111013,478945.382125995,512526.549872387,Grande São Paulo
I,2020-10-13,419361.21919006,479799.348590288,513872.170436732,Grande São Paulo
I,2020-10-14,419866.951432832,480625.134656409,515175.1653745,Grande São Paulo
I,2020-10-15,420355.521330495,481423.754121774,516436.694756314,Grande São Paulo
I,2020-10-16,420827.580606491,482196.171580709,517657.88172403,Grande São Paulo
I,2020-10-17,421283.756819381,482943.32724724,518839.87101004,Grande São Paulo
I,2020-10-18,421724.647216679,483666.103305667,519983.73431559,Grande São Paulo
I,2020-10-19,422150.824639322,484365.349799882,521090.532251268,Grande São Paulo
I,2020-10-20,422562.827158378,485041.829745468,522161.162948809,Grande São Paulo
I,2020-10-21,422961.156994426,485696.210458732,523196.325621854,Grande São Paulo
I,2020-10-22,423346.321021949,486329.265216402,524197.07088987,Grande São Paulo
I,2020-10-23,423718.803471094,486941.729755751,525164.417855255,Grande São Paulo
I,2020-10-24,424079.070489376,487534.322472437,526099.399598444,Grande São Paulo
I,2020-10-25,424427.565310941,488107.717639619,527002.988320117,Grande São Paulo
I,2020-10-26,424764.712863055,488662.565712791,527876.142860319,Grande São Paulo
I,2020-10-27,425090.911699513,489199.449945396,528719.689935766,Grande São Paulo
I,2020-10-28,425406.533529028,489718.880753996,529534.296284005,Grande São Paulo
I,2020-10-29,425711.953938802,490221.452012206,530320.896660417,Grande São Paulo
I,2020-10-30,426007.53174222,490707.729596913,531080.39515158,Grande São Paulo
I,2020-10-31,426293.612719295,491178.267694721,531813.700548159,Grande São Paulo
I,2020-11-01,426570.525775228,491633.587373014,532521.667808144,Grande São Paulo
I,2020-11-02,426838.586528622,492074.192442027,533205.13487175,Grande São Paulo
I,2020-11-03,427098.090995008,492500.535039688,533864.830177454,Grande São Paulo
I,2020-11-04,427341.504261496,492913.012008427,534501.351534734,Grande São Paulo
I,2020-11-05,427567.97310535,493312.086167742,535115.499611068,Grande São Paulo
I,2020-11-06,427787.018765578,493698.199486654,535708.045222327,Grande São Paulo
I,2020-11-07,427998.92581894,494071.786134273,536279.757056926,Grande São Paulo
I,2020-11-08,428203.960071126,494433.255293395,536831.356444871,Grande São Paulo
I,2020-11-09,428402.37663277,494783.003534283,537363.546164368,Grande São Paulo
I,2020-11-10,428594.402621502,495121.387430528,537876.938870517,Grande São Paulo
I,2020-11-11,428780.237025291,495448.721255664,538372.04111586,Grande São Paulo
I,2020-11-12,428960.104930842,495765.371374835,538849.513456766,Grande São Paulo
I,2020-11-13,429134.219862216,496071.688320537,539309.989293467,Grande São Paulo
I,2020-11-14,429302.791114705,496368.017184392,539754.096640169,Grande São Paulo
I,2020-11-15,429466.014449571,496654.683852952,540182.423349729,Grande São Paulo
I,2020-11-16,429624.078218607,496932.004683894,540595.539680669,Grande São Paulo
I,2020-11-17,429777.150001885,497200.264677623,540993.943068992,Grande São Paulo
I,2020-11-18,429925.377324577,497459.716051132,541378.045929573,Grande São Paulo
I,2020-11-19,430068.926743327,497710.65202918,541748.3784793,Grande São Paulo
I,2020-11-20,430207.956614784,497953.353472205,542105.447768312,Grande São Paulo
I,2020-11-21,430342.623096306,498188.097144664,542449.754713907,Grande São Paulo
I,2020-11-22,430473.0726781,498415.144723173,542781.767353258,Grande São Paulo
I,2020-11-23,430599.446818549,498634.75040275,543101.938451555,Grande São Paulo
I,2020-11-24,430721.871596761,498847.143480996,543410.662921476,Grande São Paulo
I,2020-11-25,430840.458952594,499052.52752277,543708.268375145,Grande São Paulo
I,2020-11-26,430955.334552011,499251.1383109,543995.173152365,Grande São Paulo
I,2020-11-27,431066.618269842,499443.201736988,544271.776667998,Grande São Paulo
I,2020-11-28,431174.429076747,499628.940393861,544556.444680839,Grande São Paulo
I,2020-11-29,431278.879041941,499808.564816642,544870.206084459,Grande São Paulo
I,2020-11-30,431380.07683432,499982.279498225,545174.31306504,Grande São Paulo
I,2020-12-01,431478.119689041,500150.268985239,545469.045333276,Grande São Paulo
I,2020-12-02,431573.09493542,500312.697438781,545754.643874958,Grande São Paulo
