DRS,Date,Infimo,Mediana,Sup,Regiao
I,2020-07-04,11931.5714285714,11931.5714285714,11931.5714285714,Grande São Paulo
I,2020-07-05,12139.6563531334,12139.6563531334,12169.382770928,Grande São Paulo
I,2020-07-06,12340.873908103,12344.7285426307,12385.4988541934,Grande São Paulo
I,2020-07-07,12535.818542669,12546.7159377149,12583.1097016135,Grande São Paulo
I,2020-07-08,12725.080455473,12742.4539374988,12765.0084907123,Grande São Paulo
I,2020-07-09,12908.7962812242,12920.1209809669,12942.023433664,Grande São Paulo
I,2020-07-10,12127.33211983,13096.060755334,13645.2629967926,Grande São Paulo
I,2020-07-11,12257.0812498931,13269.7255586504,13843.7307108126,Grande São Paulo
I,2020-07-12,12379.6628352161,13442.6692934921,14039.7588859385,Grande São Paulo
I,2020-07-13,12496.3503108039,13612.1473574681,14233.5162285357,Grande São Paulo
I,2020-07-14,12608.1737056789,13778.5730121228,14425.1668212038,Grande São Paulo
I,2020-07-15,12715.9580160604,13942.2328826801,14614.8674632776,Grande São Paulo
I,2020-07-16,12820.3569907211,14103.3812161657,14802.7662134875,Grande São Paulo
I,2020-07-17,12921.8916614435,14262.2435772239,14989.0037648124,Grande São Paulo
I,2020-07-18,13020.9822726661,14419.0205705802,15173.7151508189,Grande São Paulo
I,2020-07-19,13117.9661735654,14573.889971149,15357.0297447593,Grande São Paulo
I,2020-07-20,13213.1106960517,14727.0083856916,15539.0709328602,Grande São Paulo
I,2020-07-21,13306.6264162099,14878.513241315,15719.956451885,Grande São Paulo
I,2020-07-22,13398.6725308595,15028.5236549312,15899.7974609456,Grande São Paulo
I,2020-07-23,13489.3630020116,15177.141481927,16078.6980176037,Grande São Paulo
I,2020-07-24,13578.7811699717,15324.4539420742,16256.7568594391,Grande São Paulo
I,2020-07-25,13666.9921213389,15470.5361706534,16434.069275122,Grande São Paulo
I,2020-07-26,13754.045291873,15615.4522802133,16610.7270831116,Grande São Paulo
I,2020-07-27,13839.975038378,15759.2560236745,16786.818181654,Grande São Paulo
I,2020-07-28,13924.8036202738,15901.9918101864,16962.426714411,Grande São Paulo
I,2020-07-29,14008.53889113,16043.6948008565,17137.6319505739,Grande São Paulo
I,2020-07-30,14091.1740625954,16184.3912411513,17312.5075654027,Grande São Paulo
I,2020-07-31,14172.6959095144,16324.1002374397,17487.1232049837,Grande São Paulo
I,2020-08-01,14253.0919825786,16462.8355547446,17661.5461968255,Grande São Paulo
I,2020-08-02,14332.3498960883,16600.6061416295,17835.8413497045,Grande São Paulo
I,2020-08-03,14410.4553983956,16737.4163503576,18010.0703293288,Grande São Paulo
I,2020-08-04,14487.3930060079,16873.2665096859,18184.2916724278,Grande São Paulo
I,2020-08-05,14563.1424982194,17008.1527398156,18358.5595259847,Grande São Paulo
I,2020-08-06,14637.677514725,17142.0670049704,18532.9228099195,Grande São Paulo
I,2020-08-07,14710.9714874559,17274.9984163731,18707.4266604519,Grande São Paulo
I,2020-08-08,14783.0030031283,17406.9345919625,18882.1140780272,Grande São Paulo
I,2020-08-09,14853.7545278451,17537.8619212249,19057.0256412976,Grande São Paulo
I,2020-08-10,14923.2102055413,17667.7655754227,19232.1987996711,Grande São Paulo
I,2020-08-11,14991.3559172387,17796.6298285992,19407.6678259696,Grande São Paulo
I,2020-08-12,15058.1759981593,17924.4377435277,19583.4625018418,Grande São Paulo
I,2020-08-13,15123.6517860048,18051.1710662846,19759.6072490772,Grande São Paulo
I,2020-08-14,15187.7662004697,18176.8111663615,19936.1225328357,Grande São Paulo
I,2020-08-15,15250.5079697254,18301.3400440401,20113.0265183516,Grande São Paulo
I,2020-08-16,15311.8703724211,18423.7609677838,20290.334775452,Grande São Paulo
I,2020-08-17,15371.8492309098,18544.9080599668,20468.0595656015,Grande São Paulo
I,2020-08-18,15430.4427799659,18664.8783336234,20646.2098033194,Grande São Paulo
I,2020-08-19,15487.6488666862,18783.6613254739,20824.7897642246,Grande São Paulo
I,2020-08-20,15543.4636616907,18901.2452424558,21003.7982570386,Grande São Paulo
I,2020-08-21,15597.8851740744,19017.6188928774,21183.230041056,Grande São Paulo
I,2020-08-22,15650.9165620083,19132.7738592249,21363.0775359947,Grande São Paulo
I,2020-08-23,15702.5650157105,19246.7041277829,21543.3305768328,Grande São Paulo
I,2020-08-24,15752.8400403622,19359.4051981639,21723.9757572766,Grande São Paulo
I,2020-08-25,15801.7532481389,19470.8740310372,21904.9964504683,Grande São Paulo
I,2020-08-26,15849.316061106,19581.1074902646,22086.3716017155,Grande São Paulo
I,2020-08-27,15895.5386270885,19690.1013992072,22268.0749933476,Grande São Paulo
I,2020-08-28,15940.4324765622,19797.8522161219,22450.0766990008,Grande São Paulo
I,2020-08-29,15984.0130842419,19904.3589785574,22632.3448568626,Grande São Paulo
I,2020-08-30,16026.2989326588,20009.6228737781,22814.8455066741,Grande São Paulo
I,2020-08-31,16067.3101051361,20113.6463349859,22997.5420219161,Grande São Paulo
I,2020-09-01,16107.068068508,20216.4329318245,23180.395207431,Grande São Paulo
I,2020-09-02,16145.5938495953,20317.9858767915,23363.3622068541,Grande São Paulo
I,2020-09-03,16182.9071657969,20418.3071216724,23546.3958762493,Grande São Paulo
I,2020-09-04,16219.0284197205,20517.3988658333,23729.4462564757,Grande São Paulo
I,2020-09-05,16253.9806733939,20611.6789493638,23912.4623753044,Grande São Paulo
I,2020-09-06,16280.1915800666,20686.3015963931,24095.3921587435,Grande São Paulo
I,2020-09-07,16297.0265819616,20758.747233182,24278.1819452925,Grande São Paulo
I,2020-09-08,16312.9682820547,20829.0475580579,24460.7766385042,Grande São Paulo
I,2020-09-09,16328.0603899027,20897.2360508175,24651.0258983336,Grande São Paulo
I,2020-09-10,16342.344919707,20963.3475717081,24848.9850704725,Grande São Paulo
I,2020-09-11,16355.8622151894,21027.4184706418,25047.403415218,Grande São Paulo
I,2020-09-12,16368.6509865042,21089.4867962227,25246.2124105235,Grande São Paulo
I,2020-09-13,16380.7483306549,21149.5920640811,25445.3409474398,Grande São Paulo
I,2020-09-14,16392.1897530148,21207.7749318747,25644.7154247104,Grande São Paulo
I,2020-09-15,16403.0091998932,21264.0770135295,25844.2599771621,Grande São Paulo
I,2020-09-16,16413.2390859788,21318.5404809714,26043.8964653618,Grande São Paulo
I,2020-09-17,16422.910329305,21371.2077610807,26243.5445485945,Grande São Paulo
I,2020-09-18,16432.0524034364,21422.1216157618,26443.1221822371,Grande São Paulo
I,2020-09-19,16440.693395244,21471.3253072569,26642.5462179758,Grande São Paulo
I,2020-09-20,16448.8600489391,21518.8624367187,26841.7326355805,Grande São Paulo
I,2020-09-21,16456.5778081843,21564.7767156923,27040.5966813657,Grande São Paulo
I,2020-09-22,16463.8708630647,21609.1118442241,27239.0531257724,Grande São Paulo
I,2020-09-23,16470.7621914517,21651.9112340253,27437.0162865802,Grande São Paulo
I,2020-09-24,16477.2736032095,21693.2178040412,27634.4001228166,Grande São Paulo
I,2020-09-25,16483.4257935766,21733.0740607968,27831.1187183062,Grande São Paulo
I,2020-09-26,16489.2383987675,21771.5222475624,28027.0868540284,Grande São Paulo
I,2020-09-27,16494.7300407136,21808.604249921,28222.2202233378,Grande São Paulo
I,2020-09-28,16499.9183689409,21844.3614512758,28416.4355505679,Grande São Paulo
I,2020-09-29,16504.8201042613,21878.8346679068,28609.6508124133,Grande São Paulo
I,2020-09-30,16509.4510774849,21912.0639694581,28801.7852338495,Grande São Paulo
I,2020-10-01,16513.8262688438,21944.088552723,28992.7593423092,Grande São Paulo
I,2020-10-02,16517.9598522761,21977.640875852,29182.4953740409,Grande São Paulo
I,2020-10-03,16521.8652404465,22014.8750999978,29370.917755528,Grande São Paulo
I,2020-10-04,16525.5551216116,22050.8901329354,29557.9532480081,Grande São Paulo
I,2020-10-05,16529.0414937571,22085.7197575192,29743.5309970324,Grande São Paulo
I,2020-10-06,16532.3356992363,22119.3974111048,29927.582670867,Grande São Paulo
I,2020-10-07,16535.4484554708,22151.9559886417,30110.0423889679,Grande São Paulo
I,2020-10-08,16538.3898855585,22186.8518427268,30290.8466997296,Grande São Paulo
I,2020-10-09,16541.1695514941,22224.4968747709,30469.934874639,Grande São Paulo
I,2020-10-10,16543.7964875828,22261.0772128709,30647.2492671061,Grande São Paulo
I,2020-10-11,16546.2792279586,22296.6176796252,30822.7353632196,Grande São Paulo
I,2020-10-12,16548.6258318932,22331.1430122655,30996.3417449426,Grande São Paulo
I,2020-10-13,16550.8439091256,22364.6778154569,31168.0201322043,Grande São Paulo
I,2020-10-14,16552.9406422813,22397.2462197065,31337.7252364986,Grande São Paulo
I,2020-10-15,16554.922808987,22428.8716776681,31505.4146587927,Grande São Paulo
I,2020-10-16,16556.7968054306,22459.5772695165,31671.0490713531,Grande São Paulo
I,2020-10-17,16558.5686699668,22489.3860954687,31834.5924575664,Grande São Paulo
I,2020-10-18,16560.2441025697,22518.3211886514,31996.0120780345,Grande São Paulo
I,2020-10-19,16561.8284826357,22546.405331496,32155.278360511,Grande São Paulo
I,2020-10-20,16563.3268866761,22573.6610248792,32312.3648619459,Grande São Paulo
I,2020-10-21,16564.7441039464,22600.1102174185,32467.248066548,Grande São Paulo
I,2020-10-22,16566.0846517821,22625.77414711,32619.9072257458,Grande São Paulo
I,2020-10-23,16567.3527917606,22650.6735973411,32770.324452437,Grande São Paulo
I,2020-10-24,16568.5525459026,22674.8292259878,32918.4848688396,Grande São Paulo
I,2020-10-25,16569.6877099916,22698.2615016824,33064.3765164225,Grande São Paulo
I,2020-10-26,16570.7618657175,22720.9905609889,33207.9902023425,Grande São Paulo
I,2020-10-27,16571.7783927056,22743.0361898978,33349.319412584,Grande São Paulo
I,2020-10-28,16572.7404791197,22764.4176103541,33488.3600855234,Grande São Paulo
I,2020-10-29,16573.6511320432,22785.1533577176,33625.1104256134,Grande São Paulo
I,2020-10-30,16574.5131883476,22805.2614947812,33759.5709436144,Grande São Paulo
I,2020-10-31,16575.3293256264,22824.7598866712,33891.7445466752,Grande São Paulo
