Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,4,6,14,14,13,7.33333333333333,1.5,0.162134392828978,1.1248133549728,0.833333333333333,0.893004484384943,1.04115556879313,0.852077850611156,1.03757166616392
2,5,13,14,14,15,13.1111111111111,2.5,0.10319318574375,1.27830161042817,0.888888888888889,0.895088956088042,1.0403064037142,0.858586039161308,1.04162283159168
3,5,10,13,5,14,10.2,2,0.143268968598002,1.26995190225785,0.933333333333333,0.898173622556533,1.04336288448826,0.872664502645029,1.05162552269797
4,5,10,15,10,14,10.625,1,0.123121816237257,1.21628635875365,0.875,0.896444606349024,1.04241037215239,0.847139194208168,1.03268284801309
5,4,6,13,16,13,6.7,1.5,0.190323525498986,1.15865032024967,0.9,0.89239099184172,1.04049637848374,0.868688135590768,1.04924080447333
6,5,8,14,11,14,8.85714285714286,1,0.141068929558528,1.16704616068511,0.857142857142857,0.892880114136132,1.03991344021115,0.855135496792506,1.03946871478077
7,6,9,15,14,14,9.4,2.5,0.159291494562955,1.30563626577661,0.933333333333333,0.892782742875166,1.03980266170907,0.85051943204978,1.0337112290872
8,6,10,15,15,14,10.8333333333333,1,0.115973079757086,1.19789678913771,0.833333333333333,0.897292415443625,1.04305463532979,0.844659986333057,1.03158921484473
9,6,7,13,8,13,7.3,3,0.214442122555654,1.270921202751,0.95,0.89607737156808,1.04301828247879,0.87331570744253,1.05135781392848
10,4,10,14,19,14,10.2666666666667,2,0.13739360412927,1.22581057665718,0.933333333333333,0.896621328192095,1.04237362352435,0.860935175666983,1.04159755093852
11,5,6,14,14,13,7.6,1,0.156062055209412,1.12307375042856,0.8,0.894113951655445,1.04200498594755,0.849671020732153,1.03745494393694
12,4,9,13,28,14,9.2,1.5,0.16571875003508,1.21772622841105,0.95,0.895281192122084,1.04134148279668,0.873778170325402,1.05176180706849
13,4,9,15,19,14,10,1,0.117990292953123,1.1071321921683,0.833333333333333,0.894980159753872,1.04146280593229,0.844264293828141,1.03101442109142
14,4,15,13,14,15,14.7777777777778,1.5,0.0917274344211045,1.24273411492375,0.888888888888889,0.898858268898934,1.04278026803395,0.870476287628645,1.05137211177713
15,6,8,13,25,14,8.55555555555556,2.5,0.153404011120498,1.23001562363206,0.888888888888889,0.89360956634043,1.04029205032036,0.868824901568099,1.05060250671249
16,5,14,15,26,15,14.2,2.5,0.0825881036310634,1.16383498958324,0.8,0.896235031644751,1.04124954944468,0.843822936679831,1.03150685100715
17,5,9,14,22,14,9.83333333333333,0.5,0.124209357736657,1.13961432510751,0.833333333333333,0.896291198532572,1.04230601057628,0.853987861281806,1.0394714163823
18,4,5,14,27,12,6.125,0.5,0.210519718307375,1.17048838117252,0.875,0.893298932107948,1.0423067872603,0.85442659813809,1.03862116364716
19,6,7,14,26,13,7.35,2.5,0.215220875956421,1.2763977497534,0.95,0.894491672968964,1.04200088354134,0.86150280962452,1.0403336344424
20,5,13,14,10,15,13.0666666666667,2,0.116790063823181,1.34169253179734,0.933333333333333,0.894445560565706,1.03981038307925,0.861282180529784,1.0421849724597
21,6,10,16,20,14,10.3,2,0.160452123368041,1.33700261902745,0.95,0.893772947379463,1.04053285437059,0.842742160361967,1.02684581623352
22,4,7,15,27,13,7.8,1,0.166481268009983,1.17715848357792,0.9,0.894524940914108,1.04218752113375,0.847750201032946,1.03245257092849
23,6,7,16,11,13,7.6,0.25,0.20128182555249,1.27251752666763,0.933333333333333,0.892384763389755,1.04070464749407,0.841189360359766,1.02589993884572
24,4,9,14,24,14,9.83333333333333,3,0.115289865758876,1.10608541077907,0.833333333333333,0.896287392663279,1.04230141060988,0.853985485124668,1.03928660354194
25,4,5,14,5,12,6.28571428571429,1.5,0.198832341714427,1.17235208826633,0.857142857142857,0.893993936527618,1.04298844616509,0.852950650995263,1.03749213348961
26,5,6,13,9,13,6.7,1.5,0.195812592487161,1.19045215670997,0.9,0.892394304080803,1.04050197971848,0.86869963509733,1.0494986597886
27,5,14,14,16,15,14,2,0.0842483436925262,1.15395930429939,0.8,0.897510826858735,1.04206117674099,0.853478867039861,1.03988103942793
28,5,8,13,17,14,8.71428571428572,2,0.14050664712669,1.15732101129132,0.857142857142857,0.894368374852892,1.04086986415363,0.86643967157979,1.04941901109758
29,6,7,14,7,13,7.77777777777778,2.5,0.169912863432477,1.24126189872338,0.888888888888889,0.896211210905043,1.04331853817496,0.856917043837069,1.03984072739381
30,5,14,14,16,15,14,2.5,0.0833967757433572,1.15957869562952,0.8,0.897510648447076,1.04206116502879,0.853481389902308,1.03988100330196
31,6,9,14,11,14,9.625,1.5,0.136622636753612,1.22906444166678,0.875,0.895372282173334,1.04161044239308,0.856757167913352,1.04059407424263
32,5,13,14,12,15,13.1,1.5,0.106580939482854,1.2848608520022,0.9,0.89492792520258,1.04018199471721,0.859252301915193,1.04176553901302
33,4,8,13,21,14,9,0.25,0.123815339909342,1.04429757142923,0.8,0.895762403683987,1.04192970673221,0.862180181405258,1.0486652297902
34,5,6,13,28,13,7.16666666666667,3,0.162769947923646,1.14074412385712,0.833333333333333,0.89452677493587,1.04214882849107,0.863198145078654,1.0481479531703
35,4,8,14,27,14,8.85714285714286,2.5,0.133358137878622,1.13306201440909,0.857142857142857,0.892876681017681,1.0399090102867,0.855130026520678,1.03941458939933
36,5,11,15,11,14,11.2,1.5,0.145159653481841,1.3059218185924,0.95,0.897071647254294,1.04273640961568,0.851861902990096,1.03389895584407
37,4,9,14,9,14,9.33333333333333,2.5,0.149024837093122,1.21102691011114,0.933333333333333,0.894104884944728,1.04063843379104,0.860752858582677,1.04145256127692
38,5,7,13,20,13,7.4,1,0.195420855209398,1.21490835527576,0.933333333333333,0.896538427442427,1.04336775855454,0.871947733293382,1.0512142111002
