Municipio,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo
GUAIÇARA,2020-08-15,2020-08-15,2020-08-15,0.126594489735872,0.144679416840997,0.168792652981163
AURIFLAMA,2020-08-15,2020-08-15,2020-08-15,0.121934860373875,0.139354126141572,0.162579813831833
IPAUSSU,2020-08-15,2020-08-15,2020-08-15,0.0541561354012602,0.0618927261728688,0.0722081805350137
HORTOLÂNDIA,2020-08-15,2020-08-15,2020-08-15,1.53874175996317,1.75856201138649,2.0516556799509
BARRA DO TURVO,2020-08-15,2020-08-15,2020-08-15,0.0293401886381059,0.0335316441578355,0.0391202515174749
APARECIDA,2020-08-15,2020-08-15,2020-08-15,0.0977134481312052,0.111672512149949,0.130284597508274
OSASCO,2020-08-15,2020-08-15,2020-08-15,3.34731789441219,3.8255061650425,4.46309052588288
BARUERI,2020-08-15,2020-08-15,2020-08-15,2.12270634320663,2.4259501065219,2.83027512427555
ÁLVARO DE CARVALHO,2020-08-15,2020-08-15,2020-08-15,0.00109248688129338,0.00124855643576405,0.00145664917505783
SABINO,2020-08-15,2020-08-15,2020-08-15,0.00823492270608206,0.00941134023552248,0.0109798969414427
TARABAI,2020-08-15,2020-08-15,2020-08-15,0.0178714154406516,0.0204244747893161,0.0238285539208691
BARÃO DE ANTONINA,2020-09-10,2020-09-13,2020-09-18,1.62015274085775e-07,1.66287278652241e-06,2.82064722284217e-06
ESTRELA DO NORTE,2020-08-15,2020-10-18,2020-11-03,0.00483974327442,0.00670327015974659,0.0120082807888654
PARANAPUÃ,2020-08-15,2020-08-15,2020-08-15,0.0215463108320251,0.0246243552366001,0.0287284144427002
RUBIÁCEA,2020-08-15,2020-08-15,2020-08-15,0.00268184272118877,0.00306496310993003,0.00357579029491836
MORRO AGUDO,2020-08-15,2020-08-15,2020-08-15,0.223179654442877,0.255062462220431,0.297572872590504
RIO GRANDE DA SERRA,2020-08-15,2020-08-15,2020-08-15,0.231011260763964,0.264012869444532,0.308015014351955
LAGOINHA,2020-08-15,2020-08-15,2020-08-15,0.0228837115061371,0.0261528131498709,0.0305116153415161
PRESIDENTE BERNARDES,2020-08-15,2020-08-15,2020-08-15,0.0511258213871813,0.0584295101567784,0.0681677618495744
SALTO,2020-08-15,2020-08-15,2020-08-15,0.67626667170439,0.772876196233582,0.901688895605851
MAUÁ,2020-08-15,2020-08-15,2020-08-15,2.18676845158345,2.4991639446668,2.91569126877795
LINDÓIA,2020-08-15,2020-08-15,2020-08-15,0.0254949747764943,0.0291371140302794,0.0339932997019925
VÁRZEA PAULISTA,2020-08-15,2020-08-15,2020-08-15,0.56905786439858,0.650351845026947,0.758743819198109
CABRÁLIA PAULISTA,2020-08-15,2020-08-15,2020-08-15,0.00446639875584113,0.00510445572096129,0.00595519834112151
MIGUELÓPOLIS,2020-08-15,2020-08-15,2020-08-15,0.0989858513113031,0.113126687212918,0.131981135081737
TUPI PAULISTA,2020-08-15,2020-08-15,2020-08-15,0.0637941665096682,0.0729076188681923,0.0850588886795576
IACRI,2020-10-10,2020-11-08,2020-12-02,0.00692877443951845,0.0127467054453251,0.0259540860297258
ARTUR NOGUEIRA,2020-08-15,2020-08-15,2020-08-15,0.164919401939025,0.188479316501744,0.219892535918701
ARUJÁ,2020-08-15,2020-08-15,2020-08-15,0.566577806991916,0.647517493705053,0.755437075989221
GUARAREMA,2020-08-15,2020-08-15,2020-08-15,0.197531568537958,0.225750364043382,0.263375424717278
TUIUTI,2020-08-15,2020-08-15,2020-08-15,0.0247665469257374,0.0283046250579856,0.0330220625676499
BROTAS,2020-08-15,2020-08-15,2020-08-15,0.0276358423017671,0.0315838197734479,0.0368477897356894
ARARAS,2020-08-15,2020-08-15,2020-08-15,0.572165001994286,0.65390285942204,0.76288666932571
SÃO JOÃO DAS DUAS PONTES,2020-08-15,2020-09-19,2020-09-29,0.0121788833876746,0.0146627973022262,0.0229416873096358
ALVINLÂNDIA,2020-08-15,2020-08-15,2020-08-15,0.0115491470308163,0.0131990251780758,0.0153988627077551
INÚBIA PAULISTA,2020-08-15,2020-08-15,2020-12-30,0.00218497376258687,0.00268919847702999,0.00386285329185593
PIRANGI,2020-08-15,2020-08-15,2020-08-15,0.0423722290640391,0.0484254046446164,0.0564963054187189
GABRIEL MONTEIRO,2020-08-15,2020-08-15,2020-08-15,0.00697279107509097,0.00796890408581819,0.00929705476678766
TEJUPÁ,2020-08-15,2020-08-15,2020-08-15,0.00055829984448015,0.000638056965120171,0.0007443997926402
ÁGUAS DE SÃO PEDRO,2020-08-15,2020-08-15,2020-10-05,0.0195682072014695,0.0223636653731079,0.0260909429352926
SERRANA,2020-08-15,2020-08-15,2020-08-15,0.381079386059561,0.435519298353782,0.508105848079413
VALINHOS,2020-08-15,2020-08-15,2020-08-15,1.00526778603663,1.14887746975615,1.34035704804884
ROSANA,2020-08-15,2020-08-15,2020-08-15,0.0400410194050046,0.0457611650342909,0.0533880258733394
GUATAPARÁ,2020-08-15,2020-10-07,2020-10-28,0.0250747689517936,0.0302524978765705,0.0610783360788263
