DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-09-19,2020-09-20,2020-10-04,64.548695024434,83.8755665125736,113.035095422194,Grande São Paulo
II,2020-09-19,2020-09-20,2020-10-21,2.64922210749307,3.48946379385313,5.61084477998668,Araçatuba
III,2020-09-19,2020-09-20,2020-10-14,2.55815418017835,3.43460506129917,5.00021303501109,Araraquara
IV,2020-09-19,2020-09-20,2020-10-17,6.41810890412785,8.59588704716543,12.8721082943989,Baixada Santista
IX,2020-09-19,2020-09-20,2020-11-22,2.17341029806846,2.86083804047087,5.07696806383802,Marília
V,2020-09-19,2020-09-20,2020-10-04,2.2675427376592,2.94034646993381,3.94444069888277,Barretos
VI,2020-09-19,2020-09-20,2020-10-25,4.58311760239315,5.99330763389872,9.88240626707045,Bauru
VII,2020-09-19,2020-09-20,2020-10-04,15.6328925495282,20.2806139058953,27.3461078008613,Campinas
VIII,2020-09-19,2020-09-20,2020-10-14,3.81901138265476,5.10886809799746,7.54415172575239,Franca
X,2020-09-19,2020-09-20,2020-10-08,6.67304650295296,8.81813639701431,12.104164132186,Piracicaba
XI,2020-09-19,2020-09-20,2020-10-12,2.61442584610705,3.51064991304551,5.03314646568248,Presidente Prudente
XII,2020-09-19,2020-09-21,2020-10-08,0.957378623685088,1.28090798696049,1.80079899866959,Registro
XIII,2020-09-19,2020-09-20,2020-10-08,8.29591147290716,11.0915924356896,15.2461701920417,Ribeirão Preto
XIV,2020-09-19,2020-10-24,2020-11-23,2.05710203016002,2.88422111233564,5.15807198907572,São João da Boa Vista
XV,2020-09-19,2020-09-20,2020-10-05,11.4640578878439,15.0034731586782,20.3122880209162,São José do Rio Preto
XVI,2020-09-19,2020-09-20,2020-10-05,5.72432297608214,7.42668459426295,10.038669651932,Sorocaba
XVII,2020-09-19,2020-09-20,2020-10-16,8.2051302703901,11.0580916847289,16.4825539985411,Taubaté
