date,median_cases,min_cases,max_cases,median_deaths,min_deaths,max_deaths
2020-07-11,364238.857142857,364238.857142857,364238.857142857,17582.2857142857,17582.2857142857,17582.2857142857
2020-07-12,372520.155534511,372510.852797627,373221.781408053,17892.0182915106,17873.7987281444,17936.2658025427
2020-07-13,380754.83830829,380637.999408045,382108.08400422,18192.0290242333,18162.4974192537,18253.2500368567
2020-07-14,388967.864159413,388627.024879633,390961.013011922,18483.12123587,18448.3644660491,18539.3380071296
2020-07-15,397143.755646622,396508.202797541,399769.465877445,18758.7801279606,18731.4106086325,18799.6358276299
2020-07-16,405272.945108077,404295.127809216,408538.172275018,19019.9959089253,18986.8567826275,19048.908616807
2020-07-17,413348.192229543,348996.431558301,433886.169121632,19274.8006093532,17069.8597469242,20059.0354772365
2020-07-18,421362.316244614,355452.96878652,442931.203975549,19517.3940731901,17241.3401775756,20333.0006392914
2020-07-19,429309.829620385,361845.760067611,451943.483975018,19754.835624549,17401.6510047441,20613.5348727172
2020-07-20,437242.184520042,368177.469182247,460925.078007424,19981.7584190725,17552.6313649562,20896.6606343708
2020-07-21,445209.767177581,374449.960171552,469877.316975098,20194.3357722044,17695.7317625155,21177.2854649818
2020-07-22,453157.065220971,380664.619634289,478801.070708762,20406.0587237903,17832.0917303531,21455.4594787439
2020-07-23,461085.840368944,386823.082412639,487698.112990341,20618.0322023795,17962.6027225272,21731.2462122148
2020-07-24,468959.030420062,392926.812927285,496569.841773394,20825.243294566,18087.9607946664,22004.7225652425
2020-07-25,476843.938938992,398977.144892096,505417.105490004,21028.1065045523,18208.707127787,22275.9778990441
2020-07-26,484626.346267646,404975.138657642,514239.718989705,21226.9974070992,18325.2606736698,22545.1129785127
2020-07-27,492422.286552294,410739.969363303,523036.633139587,21422.2567269427,18437.9441084573,22812.2383504554
2020-07-28,500223.689445877,416053.572745512,531805.579603948,21614.1938055426,18547.0051281775,23077.4723906733
2020-07-29,507999.075837223,421207.836446125,540543.692982369,21803.0882915221,18652.6329460196,23340.9385383513
2020-07-30,515747.036746027,426201.137409399,549468.454276382,21989.1915926424,18754.9719124087,23602.7627568626
2020-07-31,523466.115776454,431032.647570182,558414.906766181,22172.7301485657,18854.1339584325,23863.0726285193
2020-08-01,531021.652767331,435702.297160225,567381.088499429,22353.907278685,18950.2072078409,24121.9965403831
2020-08-02,538514.846371827,440210.646324471,576369.093052028,22532.9055581393,19043.2628199411,24379.6634715235
2020-08-03,545832.723998494,444558.881938773,585380.95533495,22709.8890488825,19133.3600709445,24636.2027237812
2020-08-04,553096.444845551,448748.614941792,594417.13615573,22885.0057012103,19220.5504915959,24891.743695245
2020-08-05,560327.373715702,452781.889248574,603477.058430317,23058.3885731127,19304.8805084989,25146.4150795797
2020-08-06,567802.95107592,456661.394901267,612562.0435369,23230.1570462706,19386.3936540845,25400.3441147856
2020-08-07,575170.742936208,460390.176705794,621672.979779203,23400.4195307718,19465.1332586394,25653.6567194344
2020-08-08,582647.170781336,463971.584800823,630810.432546957,23569.2743312477,19541.1435654132,25906.4768541277
