Tempo	suavizados
2	2.7500000
3	2.6000000
4	2.5000000
5	2.5714286
6	2.2857143
7	2.5714286
8	3.0000000
9	3.1428571
10	3.1428571
11	3.0000000
12	3.0000000
13	3.0000000
14	2.4285714
15	2.0000000
16	2.0000000
17	2.7142857
18	2.8571429
19	2.4285714
20	2.8571429
21	3.0000000
22	3.1428571
23	3.2857143
24	3.1428571
25	3.4285714
26	4.0000000
27	3.7142857
28	3.5714286
29	3.4285714
30	3.2857143
31	3.1428571
32	3.2857143
33	3.4285714
34	3.8571429
35	5.0000000
36	5.1428571
37	5.0000000
38	4.5714286
39	5.8571429
40	5.7142857
41	5.1428571
42	5.0000000
43	5.5714286
44	6.4285714
45	7.4285714
46	6.7142857
47	8.2857143
48	9.7142857
49	9.5714286
50	10.7142857
51	10.2857143
52	10.8571429
53	10.7142857
54	10.4285714
55	11.0000000
56	11.2857143
57	10.8571429
58	12.5714286
59	12.8571429
60	13.2857143
61	13.7142857
62	13.2857143
63	14.4285714
64	14.4285714
65	14.4285714
66	14.1428571
67	14.1428571
68	15.7142857
69	17.2857143
70	17.1428571
71	18.7142857
72	17.8571429
73	17.5714286
74	17.4285714
75	14.8571429
76	12.7142857
77	15.4285714
78	14.1428571
79	15.4285714
80	16.2857143
81	18.0000000
82	19.0000000
83	20.8571429
84	18.7142857
85	20.4285714
86	20.8571429
87	21.1428571
88	22.2857143
89	23.8571429
90	24.8571429
91	27.5714286
92	28.2857143
93	28.5714286
94	30.1428571
