date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-09,AM,Anori,city,1,0,True,21010,1300102,4.75964,
2020-04-09,AM,Boca do Acre,city,1,0,True,34308,1300706,2.91477,
2020-04-09,AM,Careiro da Várzea,city,2,0,True,30225,1301159,6.61704,
2020-04-09,AM,Importados/Indefinidos,city,0,0,True,,,,
2020-04-09,AM,Iranduba,city,11,0,True,48296,1301852,22.77621,
2020-04-09,AM,Itacoatiara,city,11,0,True,101337,1301902,10.85487,
2020-04-09,AM,Manacapuru,city,48,3,True,97377,1302504,49.29295,0.0625
2020-04-09,AM,Manaus,city,800,33,True,2182763,1302603,36.6508,0.0413
2020-04-09,AM,Manicoré,city,1,1,True,55751,1302702,1.79369,1.0
2020-04-09,AM,Novo Airão,city,1,1,True,19454,1303205,5.14033,1.0
2020-04-09,AM,Parintins,city,6,2,True,114273,1303403,5.25058,0.3333
2020-04-09,AM,Presidente Figueiredo,city,2,0,True,36279,1303536,5.51283,
2020-04-09,AM,Santo Antônio do Içá,city,7,0,True,21602,1303700,32.40441,
2020-04-09,AM,São Paulo de Olivença,city,4,0,True,39299,1303908,10.17838,
2020-04-09,AM,Tabatinga,city,1,0,True,65844,1304062,1.51874,
2020-04-09,AM,Tonantins,city,3,0,True,18755,1304237,15.99573,
2020-04-09,AM,,state,899,40,True,4144597,13,21.69089,0.0445
2020-04-09,DF,Brasília,city,527,13,True,3015268,5300108,17.47772,0.0247
2020-04-09,DF,,state,527,13,True,3015268,53,17.47772,0.0247
2020-04-09,GO,Águas Lindas de Goiás,city,1,0,True,212440,5200258,0.47072,
2020-04-09,GO,Anápolis,city,12,0,True,386923,5201108,3.10139,
2020-04-09,GO,Anhanguera,city,1,0,True,1149,5201207,87.0322,
2020-04-09,GO,Aparecida de Goiânia,city,1,0,True,578179,5201405,0.17296,
2020-04-09,GO,Bela Vista de Goiás,city,1,0,True,29975,5203302,3.33611,
2020-04-09,GO,Bom Jesus de Goiás,city,1,0,True,25216,5203500,3.96574,
2020-04-09,GO,Caldas Novas,city,0,0,True,91162,5204508,,
2020-04-09,GO,Campestre de Goiás,city,1,0,True,3630,5204607,27.54821,
2020-04-09,GO,Catalão,city,1,0,True,108823,5205109,0.91892,
2020-04-09,GO,Cidade Ocidental,city,2,0,True,71376,5205497,2.80206,
2020-04-09,GO,Goiandira,city,1,1,True,5600,5208509,17.85714,1.0
2020-04-09,GO,Goianésia,city,8,0,True,70084,5208608,11.41487,
2020-04-09,GO,Goiânia,city,102,4,True,1516113,5208707,6.72773,0.0392
2020-04-09,GO,Goiatuba,city,1,0,True,34095,5209101,2.93298,
2020-04-09,GO,Guapó,city,1,0,True,14209,5209200,7.03779,
2020-04-09,GO,Hidrolândia,city,0,0,True,21706,5209705,,
2020-04-09,GO,Importados/Indefinidos,city,4,0,True,,,,
2020-04-09,GO,Itumbiara,city,3,0,True,104742,5211503,2.86418,
2020-04-09,GO,Jataí,city,4,0,True,100882,5211909,3.96503,
2020-04-09,GO,Luziânia,city,6,1,True,208299,5212501,2.88047,0.1667
2020-04-09,GO,Montividiu,city,1,0,True,13396,5213756,7.46491,
2020-04-09,GO,Nova Glória,city,1,0,True,8164,5214861,12.2489,
2020-04-09,GO,Nova Veneza,city,1,0,True,9853,5215009,10.14919,
2020-04-09,GO,Paranaiguara,city,1,0,True,10057,5216304,9.94332,
2020-04-09,GO,Pires do Rio,city,1,1,True,31458,5217401,3.17884,1.0
2020-04-09,GO,Rio Verde,city,10,0,True,235647,5218805,4.24364,
2020-04-09,GO,São Luís de Montes Belos,city,2,0,True,33817,5220108,5.91419,
2020-04-09,GO,Senador Canedo,city,1,0,True,115371,5220454,0.86677,
2020-04-09,GO,Silvânia,city,1,0,True,20695,5220603,4.83209,
2020-04-09,GO,Trindade,city,2,0,True,127599,5221403,1.56741,
2020-04-09,GO,Valparaíso de Goiás,city,6,0,True,168468,5221858,3.56151,
2020-04-09,GO,Vianópolis,city,1,0,True,13863,5222005,7.21345,
2020-04-09,GO,,state,179,7,True,7018354,52,2.55046,0.0391
2020-04-09,MG,Alfenas,city,1,0,True,79996,3101607,1.25006,
2020-04-09,MG,Alpercata,city,1,0,True,7424,3101805,13.46983,
2020-04-09,MG,Araguari,city,2,0,True,117267,3103504,1.70551,
2020-04-09,MG,Arcos,city,2,0,True,40092,3104205,4.98853,
2020-04-09,MG,Barbacena,city,1,0,True,137313,3105608,0.72826,
2020-04-09,MG,Belo Horizonte,city,310,6,True,2512070,3106200,12.34042,0.0194
2020-04-09,MG,Betim,city,6,0,True,439340,3106705,1.36568,
2020-04-09,MG,Boa Esperança,city,2,0,True,40127,3107109,4.98418,
2020-04-09,MG,Bom Despacho,city,1,0,True,50605,3107406,1.97609,
2020-04-09,MG,Borda da Mata,city,1,0,True,19412,3108305,5.15145,
2020-04-09,MG,Botelhos,city,1,0,True,14971,3108404,6.67958,
2020-04-09,MG,Cambuí,city,5,0,True,29551,3110608,16.9199,
2020-04-09,MG,Campo Belo,city,1,0,True,54029,3111200,1.85086,
2020-04-09,MG,Campos Altos,city,1,0,True,15461,3111507,6.46789,
2020-04-09,MG,Capitólio,city,1,0,True,8632,3112802,11.5848,
2020-04-09,MG,Carangola,city,1,0,True,33000,3113305,3.0303,
2020-04-09,MG,Carmo da Cachoeira,city,1,0,True,12170,3113909,8.21693,
2020-04-09,MG,Carmo do Cajuru,city,2,0,True,22478,3114204,8.89759,
2020-04-09,MG,Centralina,city,1,0,True,10350,3115805,9.66184,
2020-04-09,MG,Contagem,city,14,0,True,663855,3118601,2.10889,
2020-04-09,MG,Coronel Fabriciano,city,2,0,True,109855,3119401,1.82058,
2020-04-09,MG,Divinésia,city,1,0,True,3417,3121902,29.26544,
2020-04-09,MG,Divinópolis,city,19,0,True,238230,3122306,7.97549,
2020-04-09,MG,Esmeraldas,city,1,0,True,70552,3124104,1.41739,
2020-04-09,MG,Extrema,city,2,0,True,36225,3125101,5.52105,
2020-04-09,MG,Formiga,city,1,0,True,67683,3126109,1.47748,
2020-04-09,MG,Frutal,city,1,0,True,59496,3127107,1.68079,
2020-04-09,MG,Governador Valadares,city,2,0,True,279885,3127701,0.71458,
2020-04-09,MG,Guimarânia,city,1,0,True,8039,3128907,12.43936,
2020-04-09,MG,Importados/Indefinidos,city,18,0,True,,,,
2020-04-09,MG,Ipaba,city,1,0,True,18607,3131158,5.37432,
2020-04-09,MG,Ipatinga,city,4,0,True,263410,3131307,1.51855,
2020-04-09,MG,Itabira,city,1,0,True,120060,3131703,0.83292,
2020-04-09,MG,Itanhandu,city,1,0,True,15331,3133105,6.52273,
